feature_selection_score,random_selection_score,number_of_features,data_set,model_type
0.8440311636806004,0.9516091293666589,1,train,regression
0.8128514258481493,0.9332741529841968,1,val,regression
0.7775545081490698,0.8773000460696792,1,test,regression
0.8401102262816605,0.9264978356497603,2,train,regression
0.823219100963152,0.9055387282607863,2,val,regression
0.7917473045250907,0.852570102365191,2,test,regression
0.8150749376830475,0.9266766745071425,3,train,regression
0.8092595177381467,0.9052205221171912,3,val,regression
0.7669193985829708,0.8523647971484857,3,test,regression
0.7757872108665023,0.9226329372890006,4,train,regression
0.7927444633913416,0.8980773909103955,4,val,regression
0.7756705888672414,0.8491875825684024,4,test,regression
0.7696608373494817,0.9225304809263188,5,train,regression
0.7849466135666783,0.8978786041943682,5,val,regression
0.773182071486864,0.848631529250655,5,test,regression
0.7611965106905282,0.9199432868173486,6,train,regression
0.7776632190355615,0.8964462840631977,6,val,regression
0.7698420630756218,0.8472214370329416,6,test,regression
0.7609672230568488,0.9144555217752225,7,train,regression
0.7789850839987824,0.8847491699745861,7,val,regression
0.7709956889858199,0.8373548525424556,7,test,regression
0.7335808586575313,0.9081991320598609,8,train,regression
0.7424959167606923,0.866170773209341,8,val,regression
0.7522248548123877,0.8269579623793978,8,test,regression
0.7271009683981614,0.9021665496286737,9,train,regression
0.734617173506175,0.8675726862222916,9,val,regression
0.7487049452969617,0.8185779264632725,9,test,regression
0.7175726228512802,0.8754538406568908,10,train,regression
0.7301904104966576,0.8331819299452372,10,val,regression
0.7386212794087771,0.8213002842787873,10,test,regression
,
