feature_selection_score,random_selection_score_list,number_of_features,data_set,model_type
0.8440311636806004,"[0.9513557168880097, 0.9342750987717261, 0.8585445080100218, 0.9420029223936798, 0.9497674305744064, 0.9493000961431113, 0.6565250224379282, 0.9442159032943314, 0.9278230573332918, 0.8788706734362849, 0.5623547908002459, 0.9269405817930678, 0.93594562304441, 0.9036514003633043, 0.9149843864140362, 0.9462456384843744, 0.9098132731489486, 0.18075525585372387, 0.920879653975338, 0.9460303051125655, 0.9063822164585024, 0.8568368489180787, 0.9266209187230209, 0.9513394422446411, 0.9247552000069947, 0.8116347689386775, 0.9503761875362792, 0.927514357519497, 0.6564641513547497, 0.9511466899756108, 0.9106123497157687, 0.949080700279828, 0.9286643856512703, 0.7910492539126316, 0.7265447097444969, 0.9492507159497904, 0.9308129044756259, 0.9466053914558102, 0.9385385565908352, 0.9398071153997266, 0.9245239475821779, 0.9126256963700381, 0.9509225342056178, 0.9333243394740103, 0.9274503076550643, 0.9486977217000112, 0.940903895657164, 0.9471307287760362, 0.8643535548274626, 0.9234109494352021, 0.8834166181220013, 0.8036558502709125, 0.9540147086604964, 0.5258293086329676, 0.9505049626958101, 0.9516562725920723, 0.9093477744156819, 0.9437654949069213, 0.949521423136605, 0.9460658040388394, 0.8470421265618873, 0.5072900863458869, 0.9390292145897382, 0.9123481887830432, 0.9162691337515936, 0.9349637571693316, 0.9494035374715974, 0.9557179495804113, 0.7611148212885667, 0.9344239675698024, 0.9453884047445675, 0.9078566745366806, 0.9161541166062661, 0.8521390306570423, 0.9359691741298969, 0.9525344197037804, 0.7966938120356476, 0.9519006746555428, 0.922635345055777, 0.9507493111010574, 0.8720166356823658, 0.403720761866279, 0.9295749001605608, 0.9512775632715109, 0.9554320109937091, 0.9011530248268912, 0.7068880204780654, 0.9054031272591019, 0.9334735227616362, 0.9334381562700875, 0.9282703259340747, 0.951264727580922, 0.9432584056312835, 0.8647441403168589, 0.905449898310703, 0.8566960776373377, 0.9501548669249513, 0.9399242023424708, 0.848282306865784, 0.9482715631132794]",1,train,regression
0.8128514258481493,"[0.9334556893710664, 0.9189700227547152, 0.8054710630057973, 0.9254159072403328, 0.93366236964152, 0.9311866116311565, 0.6346151159911271, 0.9130565298190151, 0.9002874255215763, 0.8717506358111707, 0.5619971775037595, 0.9150571225187922, 0.8983271366268547, 0.8750622349468107, 0.9277102441378706, 0.938364211140889, 0.8940526119544892, 0.17661817668905655, 0.8831676967156545, 0.9339282263760383, 0.9140247170507251, 0.8489218743217579, 0.9295882048247028, 0.9338342252560323, 0.9181234201415217, 0.8284007648699256, 0.931086133560288, 0.8988100886415298, 0.6400382653099776, 0.9335836748921645, 0.9018623419330063, 0.9302125541798074, 0.9069436292739792, 0.7648902659814223, 0.6973210493858135, 0.9291220870967006, 0.9264741235815351, 0.9214408194526927, 0.9290276872182218, 0.9351449414741375, 0.924185330067749, 0.9100311897335621, 0.9386231479725717, 0.9325948845812668, 0.9060645103731501, 0.9371903435234661, 0.9323162298562793, 0.9300518980412096, 0.8769063750448678, 0.9277553528738736, 0.8583119083044753, 0.7117014466321896, 0.9446301884756441, 0.536478799998329, 0.9354269629792371, 0.931764222569561, 0.8896799517265755, 0.9228922032685171, 0.9283512126876499, 0.925316285744115, 0.8463123805027539, 0.5184242467152638, 0.9225944819490633, 0.8761469710501781, 0.9216140146221258, 0.8990818336807023, 0.9306683356320014, 0.928398741972512, 0.7320343398834248, 0.90163873893018, 0.9254483176554834, 0.8656011904082807, 0.9141204872302024, 0.8198348347809167, 0.9210703715947691, 0.9375026876605755, 0.7582295676552913, 0.9429223345761303, 0.9250002609037167, 0.9380241413790763, 0.8652815513846309, 0.3807725285549295, 0.9171446531041689, 0.9315204628734695, 0.949152394405729, 0.8757036141588412, 0.7045977022232973, 0.8954143165567005, 0.9204342331699065, 0.9139026071416886, 0.9234535231643979, 0.9326619263174046, 0.9210649665392782, 0.8404823799127119, 0.8736733490849417, 0.8682635556402774, 0.9364079359532037, 0.9094408725979528, 0.8194040155380966, 0.9332896905308355]",1,val,regression
0.7775545081490698,"[0.8767796005423251, 0.8820029184205525, 0.8061325920067343, 0.872866927916362, 0.8773665115842763, 0.8753490626748737, 0.6488598374884513, 0.8613824548788532, 0.8516657357734296, 0.8066153389423658, 0.6063843067157588, 0.877150875606041, 0.8493059012578297, 0.8233550856199435, 0.8470224347550706, 0.8710418634322772, 0.8263071073352256, 0.1915228386245038, 0.8421690987844318, 0.8769806266026929, 0.8383857654823355, 0.7949378586760111, 0.8912568319494595, 0.8730075016362798, 0.8852450800487911, 0.7886503857185121, 0.8767242130581002, 0.8584256812836388, 0.6462470928260092, 0.8772282889124413, 0.8200426044107927, 0.8691024770283153, 0.8548197782560086, 0.7399055304603525, 0.7011564575688689, 0.878016091609065, 0.8682256532818383, 0.8716706983396822, 0.8712860352434789, 0.8787681309529617, 0.8666175378390943, 0.8664754350752919, 0.8801613680036113, 0.8776474524778913, 0.8366747966032635, 0.8790863526297413, 0.8774004939480878, 0.8815480033795335, 0.82217526827332, 0.8523441506527571, 0.8315921234490093, 0.7885567781095179, 0.8865922557344403, 0.5481740714673419, 0.8789384590086364, 0.8761211777938341, 0.847811914973376, 0.8745948766610314, 0.8739497292402902, 0.8686480259422887, 0.8199145220373757, 0.45014449797038636, 0.8655386919860223, 0.8158706553192169, 0.869677347820136, 0.8523663546526891, 0.8769083979430545, 0.8827833130902678, 0.7069686489394157, 0.8558041490519558, 0.875199433510188, 0.8177099761913976, 0.8570427427614687, 0.8245081609627216, 0.8626146727693433, 0.8749852682141531, 0.7155095480395711, 0.8761324474975569, 0.8654847554887308, 0.8833100100778499, 0.8233814562128952, 0.38988438327365355, 0.8675842144472874, 0.8765100018751769, 0.9147734382393635, 0.8217066463240669, 0.6442807464414355, 0.8333040804949443, 0.857957202633814, 0.8583173491637673, 0.8611186837707316, 0.8756452875157629, 0.86736258743867, 0.8263935203936795, 0.8170824372325959, 0.8625270520668794, 0.873812988366808, 0.8768516311370195, 0.8118454235646922, 0.8737762511743127]",1,test,regression
0.8401102262816605,"[0.4621377574378778, 0.892342287698656, 0.8851153468126332, 0.9340296784796652, 0.9461116160943959, 0.3511985111769469, 0.6999961752431465, 0.9448573889391759, 0.8614481689611805, 0.9529005047453217, 0.9187794469189923, 0.7128131998166057, 0.9565975497535695, 0.9185548220129637, 0.9190622889549921, 0.8820387055141634, 0.9542372018536857, 0.2674925647961447, 0.9402384875810541, 0.8931933981563905, 0.9489701706735615, 0.9315678880682164, 0.9460725880641151, 0.9187805387229281, 0.9442098801881555, 0.9157633860085186, 0.8263254267447231, 0.8627018581044398, 0.953734935232795, 0.8796164058667064, 0.8824178470652089, 0.824298418772225, 0.4554470996965273, 0.9237097297738789, 0.9594490624358014, 0.9455146366678794, 0.9290594353968978, 0.952300331541181, 0.8653158310212896, 0.5140880085056676, 0.8795577835906806, 0.7395286559157709, 0.9382130028280509, 0.8767857793320428, 0.9311748024192067, 0.8253419164419226, 0.9281230473373646, 0.9183833137963978, 0.8894822349222359, 0.9286596292536399, 0.9270008030818927, 0.9547484714197455, 0.8322729043834324, 0.924854431088881, 0.8100265314698567, 0.7712405232532009, 0.8917206600383131, 0.937390897306577, 0.7654935066325286, 0.909497904278849, 0.9224419953644114, 0.9063237955490471, 0.8817052022008047, 0.8821419873012075, 0.9387796634994917, 0.9161923106187686, 0.8060460714253799, 0.9375535315900164, 0.9002808879676427, 0.7438254434820787, 0.8550648634600434, 0.8816124017228802, 0.781330907261, 0.8877026655973205, 0.9044395055706956, 0.8810335898027701, 0.9330458232000752, 0.7870166284525832, 0.8303218874907746, 0.8696661255246106, 0.5478685528088975, 0.9128015994871448, 0.9358062954120318, 0.8460358585236952, 0.869790012033856, 0.803707216139239, 0.926629319040621, 0.7892655036559961, 0.8548258967252054, 0.8096199118511108, 0.9148875868877477, 0.9388000317090173, 0.7509211994793134, 0.7189901356135613, 0.7450696232516683, 0.8161309752337869, 0.949574506612727, 0.9467731538489875, 0.8192474854269718, 0.9164657206728032]",2,train,regression
0.823219100963152,"[0.4318327673297894, 0.855041136026604, 0.9076248334331952, 0.9150741810948386, 0.9286675672994853, 0.3680069760522747, 0.704958109047096, 0.9055941879005099, 0.8324503527843067, 0.9329839460992179, 0.9473175547696725, 0.7444486394722641, 0.9466830222070611, 0.8937038269263269, 0.8901727333788013, 0.8608133948429793, 0.9260200883579328, 0.25906836267570393, 0.9225817585227526, 0.8769607188024826, 0.947483335117229, 0.9233564898257355, 0.9349581180785651, 0.923601127954692, 0.950000909750729, 0.8752113974284954, 0.8073457739835158, 0.8523625489889263, 0.9381809070121724, 0.8821920246198606, 0.8951728641948093, 0.82154949244971, 0.4903506684653074, 0.9028697008045754, 0.9600424539813849, 0.9186597512383916, 0.9027052626052978, 0.9283045501792595, 0.9099620891390247, 0.4549922718623658, 0.9040222226084165, 0.7041502394015807, 0.935317807581324, 0.920608904997475, 0.9004600637296023, 0.7968478757982632, 0.9290908681032007, 0.8937079194544372, 0.90659166536089, 0.8773647930264198, 0.916910733693543, 0.9362889792566463, 0.8722810211143294, 0.9267413922994462, 0.8130222480357132, 0.7987537796405703, 0.9174460139761826, 0.904455158017141, 0.7515588270230337, 0.9112048888190901, 0.9136323833510401, 0.86861941592027, 0.8467472234039625, 0.8628510504776095, 0.9372856449634713, 0.8894833023440493, 0.8108395638976564, 0.9098599789838022, 0.9094880974740783, 0.7276142735009777, 0.8637645195782657, 0.8912023950773998, 0.7829448602442508, 0.873808799279995, 0.9211094270233012, 0.8625686078143837, 0.9290897093092918, 0.8344202409694914, 0.8323208554928773, 0.8678892743704725, 0.5123054556284726, 0.9142739371262683, 0.9177650112549152, 0.8718092497943503, 0.8674578734207703, 0.817206062678925, 0.8991826573588769, 0.8327269237627541, 0.8549936280272796, 0.839933981422837, 0.9365282255792354, 0.9241261036163722, 0.7294203330343534, 0.6797045797221118, 0.7029515541094428, 0.8198327736731614, 0.928856321260134, 0.9191163761680232, 0.7477539848363285, 0.9505761964591954]",2,val,regression
0.7917473045250907,"[0.4876220330879105, 0.8348973355303464, 0.8439470863000742, 0.8648556924558677, 0.873916694296685, 0.35570614721122346, 0.7061910427475923, 0.8507416306013427, 0.7991657155811664, 0.8763375173714263, 0.8773510359345783, 0.705452096693693, 0.894032311495751, 0.8402378749168089, 0.8794974388903594, 0.8328323869504494, 0.8750761232296129, 0.27175484782101283, 0.8696229438596189, 0.8062918632970547, 0.8855350840715452, 0.8684260377641694, 0.8757143999103263, 0.8522401936473212, 0.874949545426811, 0.8460783482126941, 0.7896808208758905, 0.8038880972648682, 0.8759848139013375, 0.8091465519710634, 0.8469847479371031, 0.8141392908770921, 0.4450880398369804, 0.8497770487772003, 0.8884157454608215, 0.8756862263533677, 0.8619472225674184, 0.8781248007310484, 0.82286130762089, 0.4904062102639229, 0.8089156592293548, 0.6413115899318228, 0.8760998629255343, 0.8555705066208663, 0.8514558737458344, 0.7668962619661107, 0.8626101101023655, 0.8423281110202283, 0.8550768317072351, 0.843070635050272, 0.866387699865101, 0.8712011739357366, 0.8439536422827197, 0.8636446115989018, 0.8312644598512573, 0.7837605642553004, 0.8587902008940972, 0.8437866720178047, 0.8102906317859851, 0.8293995286089263, 0.8798523352398778, 0.8316800694867755, 0.8084885040552984, 0.8322275684172953, 0.8722841487212276, 0.8647830932138006, 0.7973814208521002, 0.8636668857569463, 0.8305307074812192, 0.7166458183408594, 0.7969555555527476, 0.8382428358549594, 0.7329387080660691, 0.8229980609154193, 0.8698621395791298, 0.7997403357040846, 0.8644308526941519, 0.7798989790016576, 0.791530513232423, 0.8416819556535011, 0.4671680887943781, 0.8543082191794505, 0.8746086849574104, 0.8471780700796623, 0.7999754866270151, 0.8118328291396771, 0.8870371808689281, 0.8165397613772326, 0.8012196335791544, 0.7135136187868594, 0.8630151684638891, 0.8648619330324183, 0.7339282973109569, 0.667015821200603, 0.6999082601795535, 0.7418620357920841, 0.8728459858916401, 0.8983506122924204, 0.7311408874238379, 0.8923270563355589]",2,test,regression
0.8150749376830475,"[0.8550868995937005, 0.7200456607718071, 0.8231307779756042, 0.6636049691582205, 0.7967315986329943, 0.8032725820598403, 0.9083408896854221, 0.917124740891088, 0.718981159265641, 0.9483809716562334, 0.9256756785412756, 0.7117816342845175, 0.9057431443648758, 0.8467057417994347, 0.9111994608600092, 0.9279326817302652, 0.7883097418543314, 0.8745472199331401, 0.09027538676092894, 0.8790629632280331, 0.4817613753653611, 0.9179495768931051, 0.874603402853227, 0.8451272995628785, 0.8554597178385734, 0.2526237338446521, 0.8642102561907016, 0.8948645773729821, 0.8292923471679589, 0.8051579689118049, 0.8993463809664819, 0.7616470483947778, 0.8176527995692987, 0.698448502324458, 0.8728499194530049, 0.8510241121787946, 0.835674180756936, 0.47883228718872356, 0.9231799053222902, 0.3781308019622807, 0.6470742879414703, 0.912640928153717, 0.6548649613531984, 0.820423855749766, 0.8000313274755245, 0.9417908368057651, 0.9541624212112833, 0.8815193275588648, 0.8448269119549439, 0.9361352974715834, 0.15181405310096857, 0.8799024722913807, 0.9286332492841106, 0.9444659109728833, 0.9116991577965966, 0.8871117140825524, 0.8642019393639994, 0.897692415492706, 0.8805935185626669, 0.9422872239365904, 0.8902556423493524, 0.8926844999391076, 0.08470282825368301, 0.8312479019971359, 0.8869195780326251, 0.7197720692364337, 0.8646148650398529, 0.5055108930466073, 0.8979750820893991, 0.8909024354276182, 0.8691724566554924, 0.8038465042779663, 0.8592192955572303, 0.8910673258199674, 0.839024952648407, 0.9329672288420422, 0.6765459145373073, 0.9347130447171873, 0.7223643206024606, 0.8992454510028723, 0.6506310942266316, 0.9028662144279096, 0.09906440239878514, 0.9035605017393291, 0.89115650529949, 0.8394841027583331, 0.9041124234292531, 0.8831900451905266, 0.1577279353502539, 0.950515791923479, 0.8496543483411382, 0.9447813122774922, 0.9017874123304818, 0.8569181689293933, 0.36646122788163543, 0.7676355288580365, 0.9119776769923349, 0.6851244170237055, 0.08754153020016893, 0.6825348731143891]",3,train,regression
0.8092595177381467,"[0.8442385507506275, 0.7468520359028458, 0.8027757664765249, 0.603469896924085, 0.8007209042502142, 0.7580197514501927, 0.9249471556785099, 0.9111971730110525, 0.68293707150128, 0.9369346755987192, 0.9338107439768618, 0.6901626175168301, 0.9159031440993881, 0.8395556418217158, 0.8834533763872565, 0.93672548950921, 0.7717077174291442, 0.9115825887289332, 0.09309577298492672, 0.8613039349243566, 0.452370865511025, 0.9075260667583797, 0.9356868305842755, 0.826068225153182, 0.8355894478151189, 0.290070359314465, 0.8414803591320299, 0.8790622180704157, 0.8094778787818494, 0.8543257230051938, 0.8849611489291543, 0.6272552112831551, 0.767160945144487, 0.681918270285785, 0.8791391226350436, 0.8743135472146646, 0.8010726476791764, 0.5093181176855479, 0.9096228358195707, 0.39251024557077785, 0.6363798454880636, 0.8844464367391237, 0.6352664936589316, 0.7642440054423059, 0.7769040733243867, 0.9291745254655722, 0.9308109928765887, 0.8507424602050119, 0.8315808187398055, 0.912931074261978, 0.1474154979855376, 0.856288710531042, 0.8626710646242123, 0.9224768891092859, 0.9019306075158153, 0.8991156638031366, 0.8321475390061999, 0.9070722499033209, 0.8803057478113728, 0.947495494021118, 0.8917241874833662, 0.8921135206495046, 0.08464166223575545, 0.8993773067734103, 0.9154097622748579, 0.6933453616640105, 0.8519576496585771, 0.47741253370416065, 0.8872893333505483, 0.8632167796796613, 0.8486409474502541, 0.8363575560557387, 0.8658046980514514, 0.896335125702949, 0.8414214306802157, 0.9309396228247099, 0.6718578705002309, 0.9221247370202903, 0.7199453597245302, 0.8767612836145182, 0.6231671761847879, 0.8809224387808992, 0.10275568598909542, 0.8658918241741934, 0.9018750394252176, 0.810768433332853, 0.880755083521496, 0.8680257374136089, 0.14964996599252348, 0.9321493538261485, 0.8416811703397998, 0.9290467509918467, 0.865414726908725, 0.8352609455972777, 0.41700041580043357, 0.7277879842964358, 0.9270242211083446, 0.6595746367674413, 0.0997144177622218, 0.6349345505647752]",3,val,regression
0.7669193985829708,"[0.844454094103729, 0.7080671834546526, 0.7935613673400334, 0.5940328015799494, 0.7032535033404491, 0.748142169533562, 0.8317852300982626, 0.866536676031573, 0.6880543796073247, 0.867810139599267, 0.8766685144655986, 0.7442521652713694, 0.8832706471765478, 0.799647622304463, 0.8206628950782097, 0.887924574696409, 0.7228167625415044, 0.830115481571555, 0.08512589966008383, 0.7980959919086917, 0.5113194097802167, 0.8502505625923735, 0.8900027964981275, 0.7556054138645398, 0.8134185695666492, 0.25017490214729254, 0.8164959287741713, 0.8155938967790368, 0.7763444770601847, 0.7795984904616482, 0.8231055998130417, 0.6175222874379004, 0.7151537324314411, 0.6557763905242054, 0.8209658588133125, 0.8146288058813567, 0.7939811173798167, 0.46672014082700836, 0.8631609653824498, 0.4083328628463016, 0.6340647472739631, 0.8509890137215381, 0.6187977772850399, 0.7294667043551327, 0.751297812540067, 0.8749663918391796, 0.9021319690590707, 0.823415409226971, 0.8020984937261104, 0.8420972724721438, 0.14817462439276868, 0.7898515638760352, 0.8353241290073594, 0.9048764766024734, 0.8461098531935053, 0.8518466886023164, 0.8145400423896783, 0.8697332262726105, 0.8221423293986749, 0.8949079417093988, 0.8328114789252813, 0.8637285738024765, 0.08175278919562029, 0.8531035038569532, 0.8409545661929149, 0.7078245662634701, 0.7665111693596602, 0.4731474942274564, 0.8397307321091355, 0.8385973898022251, 0.8158407946131454, 0.7867578687730521, 0.7828893600623836, 0.8478712988883218, 0.8056650611289398, 0.874290591945653, 0.6878780278455661, 0.851078830063556, 0.704100059858236, 0.8341445348821293, 0.5784000544952146, 0.8411739702018954, 0.09834511565197422, 0.819581059588789, 0.8291156165417348, 0.7671951362936927, 0.8425460683776284, 0.8342402180508919, 0.1535073434684184, 0.8798721958939484, 0.7863744644849994, 0.8753255500938383, 0.8496022170415095, 0.8324126092377077, 0.39793123613140624, 0.7348335472619227, 0.8636753826653408, 0.6915685934020437, 0.08368255823282256, 0.597248203759007]",3,test,regression
0.7757872108665023,"[0.8511714205775442, 0.12807159892746575, 0.9379375746751825, 0.9305020072347292, 0.8852249090363185, 0.9108310849288025, 0.17734791021935573, 0.9167631145649561, 0.8527337304762866, 0.38176721345302844, 0.8424487907738353, 0.8233407360710154, 0.8001661195517557, 0.8923440950887219, 0.8150998176047474, 0.849662576015153, 0.8677489651393625, 0.8781009978988321, 0.8587455032864969, 0.7114158663271372, 0.712238259962407, 0.5987810187678002, 0.8932347819603662, 0.7999246439507027, 0.19051862213575793, 0.9110294677277703, 0.9269179172669726, 0.8543597918630981, 0.843875280475305, 0.8701563573252965, 0.5676602139906266, 0.7965603605053396, 0.9184442755001544, 0.754368889490061, 0.8097238092266975, 0.4256913072945337, 0.8980448386514311, 0.8008990348367321, 0.8550802280038039, 0.8967027303641988, 0.8630487858936517, 0.9088892716573114, 0.7580329165977038, 0.7575414541338876, 0.8289519534260975, 0.9156075572635417, 0.8356226208340218, 0.7634217951293729, 0.8033437796440065, 0.22086220416423366, 0.7027772256452127, 0.5671351053474586, 0.9036052286421784, 0.9204314352328923, 0.866042862099907, 0.22542906119901657, 0.8961931378118938, 0.8516573527736274, 0.774898617348056, 0.896553354311368, 0.9190780722875315, 0.7606093462620411, 0.5600413830425414, 0.7683773469626828, 0.7604991713714241, 0.6914972270013038, 0.26782859810871346, 0.8596600681103771, 0.8284490312016624, 0.37279264869800177, 0.857108056004039, 0.8519273452293498, 0.3236889977032195, 0.7652732982442008, 0.8511305837976463, 0.8215390931040696, 0.8754488441066736, 0.5482487796208931, 0.8045819719595985, 0.38464342597241225, 0.09943520466966523, 0.8166763771943845, 0.7541435122801892, 0.7741286082740259, 0.33631928020612417, 0.743337146002644, 0.8861555395270826, 0.2586605894804289, 0.885577687810627, 0.6123815811679273, 0.9048911323039466, 0.8146893941695804, 0.7630061775947016, 0.859791685608479, 0.9018081508522997, 0.40113525447068765, 0.8128624612787467, 0.8057360854982129, 0.8607480260910262, 0.9338660992238831]",4,train,regression
