feature_selection_score,random_selection_score_list,number_of_features,data_set,model_type
0.8440311636806004,"[0.9521489815175775, 0.8844948595830735, 0.9510779420030465, 0.8729129228901064, 0.9502505738678463, 0.9519006746555428, 0.6903787100790973, 0.9508361314565362, 0.9509488565208938, 0.9361100359376083, 0.7365378175702447, 0.9434089393462028, 0.9486949150938453, 0.9466053914558102, 0.951264727580922, 0.9402715479247569, 0.9295402670877241, 0.8939675397075092, 0.8897817535597594, 0.7239502639409516, 0.9391560343914758, 0.9485876685707743, 0.9487056174130617, 0.9514030071166134, 0.9483753934145387, 0.9453466451758371, 0.938000989146449, 0.9494097161867692, 0.9292346918771531, 0.9483795403646593, 0.8350790353810698, 0.9224947426117246, 0.9218535046568567, 0.907017371473977, 0.9446843487755265, 0.9057153047879218, 0.9434827435771164, 0.5428129710590531, 0.9164253169762092, 0.9498254837390188, 0.9262063402214136, 0.9134358126527005, 0.9410946776824528, 0.9199607845504782, 0.9498102389273294, 0.9407439878059167, 0.9287231038745729, 0.9497560448312155, 0.9284239861612695, 0.9466742904597782, 0.9492965485894584, 0.9516090463549789, 0.9035002573939201, 0.9523382993470001, 0.9422877080836078, 0.9514872151209959, 0.6613876828852582, 0.8470593886214097, 0.9090803489415786, 0.9489493203820502, 0.9472040055796153, 0.9353144968770473, 0.9496351193131509, 0.9134460152744566, 0.3264509856304391, 0.8897631026805126, 0.9455302133252185, 0.9479903419692067, 0.8666038031462402, 0.9490804574352001, 0.9524643818114565, 0.8350790353810698, 0.9436049033048096, 0.9368385888170182, 0.9417772507635012, 0.9412688899652315, 0.9054842942674691, 0.9349282884006497, 0.9246811844278648, 0.9265732623746672, 0.9363791219008876, 0.9404755354511594, 0.8956304529597278, 0.22909809041955997, 0.6379191456803208, 0.8916858090448265, 0.888998394595539, 0.13347624935000177, 0.9457540340372568, 0.93544075466446, 0.9279648890718811, 0.9516242590957391, 0.9507704424414668, 0.9203885939722167, 0.6339764399786406, 0.939658975437047, 0.9023387345870706, 0.8538308251741398, 0.9156631272303981, 0.9447237096795126]",1,train,regression
0.8128514258481493,"[0.9331943772670683, 0.84752424084338, 0.9326069944111325, 0.8601904737013081, 0.9323899577855135, 0.9429223345761303, 0.6834606909732592, 0.934002310013611, 0.9301646355099794, 0.9240315187640675, 0.7526259809655523, 0.9289840036008977, 0.949202226639228, 0.9214408194526927, 0.9326619263174046, 0.9166101946631726, 0.8902935202279076, 0.8538167105656002, 0.9195347252219311, 0.727532047385139, 0.9210340123380638, 0.9330785028660501, 0.9380985481506111, 0.9328500553594384, 0.9280372999374579, 0.9264643663835034, 0.8977132714137251, 0.9363859689502927, 0.9390445359410735, 0.9211571237640375, 0.8331075263850961, 0.929383426534927, 0.9091254968142259, 0.8847803816817817, 0.9321269179089481, 0.9026592620705295, 0.9337983195318214, 0.5305296077325533, 0.9062209749797986, 0.930476926579433, 0.9129508694439931, 0.904820633240397, 0.9183281874921743, 0.9124715503080775, 0.9324498000026534, 0.9411972343059676, 0.9255216625230934, 0.9202453028450961, 0.8996087541238706, 0.9346600927069211, 0.9325079691502299, 0.9325610294929525, 0.8837995710985512, 0.942841286457269, 0.9149835844468109, 0.9346021171461173, 0.6300992966848382, 0.8454580454373007, 0.8988567591793145, 0.944558506810538, 0.9236927650731624, 0.9397946568491381, 0.9399074580762662, 0.91985419313935, 0.2921397110945278, 0.8842068956386397, 0.9240417194478738, 0.9415641879560979, 0.8447282448344638, 0.9315754719431734, 0.9342341319697879, 0.8331075263850961, 0.9338933928850178, 0.9431549836922636, 0.9349450479373358, 0.948819575793086, 0.8737450040518976, 0.9238542445024214, 0.8912347813334747, 0.9208328377064063, 0.9298728123900747, 0.917120155555134, 0.894120081725744, 0.23192741681603304, 0.6515815981432146, 0.9049138935527341, 0.8948433123573515, 0.14331575979357813, 0.9313736870104787, 0.9246563100988763, 0.9022086467699973, 0.9339702207371093, 0.9305279922412378, 0.9087033124972711, 0.6505707855166352, 0.9440246037337714, 0.890698054931471, 0.8226866490458297, 0.9104369319164812, 0.9295720360981546]",1,val,regression
0.7775545081490698,"[0.8727257357208403, 0.7813987356121026, 0.8773488172073848, 0.8214395594072924, 0.8760525206296327, 0.8761324474975569, 0.6685998146065694, 0.8804185926229304, 0.8757583548676162, 0.8642186079235854, 0.7466505979472262, 0.8754091739670914, 0.8920327481989372, 0.8716706983396822, 0.8756452875157629, 0.8725923503127485, 0.8694499480255689, 0.8218387498715712, 0.8566496721519442, 0.6758268765662351, 0.8913573320849872, 0.8765938565469262, 0.879553027856168, 0.8778990951946516, 0.8535182903052301, 0.875762692419719, 0.8468262271222292, 0.8781559168836992, 0.8416774056811247, 0.8658287689099814, 0.7794423385206982, 0.8621317421259999, 0.8569633952714851, 0.8742112801965054, 0.8800545468421995, 0.8563917989340173, 0.8781129116352192, 0.5415879361203125, 0.8300452124588165, 0.8779812371667437, 0.858082333736545, 0.8603789961421985, 0.8706122489314149, 0.8499336137976355, 0.8739536992865757, 0.8781232663356673, 0.8489063405053101, 0.8614513037777, 0.8632735424016046, 0.8806013175901708, 0.8718607812116638, 0.8762587637965162, 0.8550077314622175, 0.8829378171083332, 0.848800034526723, 0.8775437737304829, 0.6211727933459461, 0.8147422320640019, 0.8594640671830401, 0.877799361955969, 0.8700945282034611, 0.8863649444447679, 0.8711071341072706, 0.8621647337539947, 0.27963971191633813, 0.8297486959693273, 0.8775627752117778, 0.8786372960739192, 0.7908252800354051, 0.8703659317419901, 0.8790962355158626, 0.7794423385206982, 0.8826899966040186, 0.8925339488734324, 0.8683188520802628, 0.8901985828121141, 0.8254518453878691, 0.8838745028650374, 0.8459588812134083, 0.9058426153908499, 0.8832745571631102, 0.8715023404133253, 0.8329671811762843, 0.22772392206202408, 0.6182994101507363, 0.8445629840418264, 0.8145976190321776, 0.1277061540136234, 0.8754379204346397, 0.8730508217302141, 0.839846481982001, 0.8775670581438781, 0.8742047098151979, 0.8699971547146047, 0.6613858913412083, 0.869461176950469, 0.8581180021013105, 0.7926116470953669, 0.855330274509139, 0.8722358621864464]",1,test,regression
0.8401102262816605,"[0.8959376204348029, 0.8813653414612209, 0.9270164334610531, 0.8221682562966912, 0.9382995470912224, 0.9441319930428644, 0.8599147464425448, 0.910730265875357, 0.9391616196384303, 0.8635203874767476, 0.8314386650405925, 0.910880221578653, 0.9100523936159166, 0.6930054550310228, 0.9295599842915557, 0.9367658720937924, 0.9470515977598526, 0.8723884935558736, 0.5389574971734785, 0.825899450631041, 0.8651853247040214, 0.9418446402025313, 0.9488763941511577, 0.924347310528498, 0.9326766304715076, 0.9052280882907079, 0.9191137538512341, 0.947945928865529, 0.9292749677235086, 0.8174219379918696, 0.8163283941901729, 0.7926061851897903, 0.8307066962992891, 0.7938255840393902, 0.9110074973859877, 0.8272560570871627, 0.8977410228458487, 0.9325127532811526, 0.7617876065765445, 0.9460339265788398, 0.9046013702208161, 0.8731567695328255, 0.9469393154280651, 0.452523973606649, 0.9249838100728155, 0.43998703478527607, 0.7588322696608308, 0.9339267365335275, 0.7783988977890351, 0.3738899038590677, 0.9102486983546832, 0.9060515583856238, 0.9320370799332498, 0.9492760213163959, 0.8921517358431956, 0.9474109849078107, 0.4236215271442504, 0.9494589194125894, 0.9115052120164278, 0.9386317463328587, 0.893511724959549, 0.9323451129531162, 0.3529617966389511, 0.9120176056646242, 0.9278165392848364, 0.9381118224549866, 0.9036042026018609, 0.9358040462736856, 0.907276779397863, 0.9118743990603749, 0.8657105984311961, 0.935457832941687, 0.8794066000176746, 0.9033764480461047, 0.8520053106533845, 0.8734161348456384, 0.478212639520621, 0.8086729698630838, 0.9339440111218907, 0.8670324308511625, 0.8941888257664612, 0.9053672526078987, 0.8509895453219569, 0.8666296108060251, 0.8969654928677223, 0.8774921436299972, 0.9449958600622309, 0.8010363320859961, 0.9495573991923959, 0.2746155840454212, 0.4023572945989867, 0.9423767508816427, 0.7066953373090825, 0.833386534407525, 0.08044916172646063, 0.8791988918472049, 0.898900755321761, 0.8827077905352554, 0.9472197063430532, 0.9428746981345866]",2,train,regression
0.823219100963152,"[0.8780451187911464, 0.8005666816081456, 0.9279885764433301, 0.793827625958371, 0.9152063965587568, 0.9155253876893275, 0.8471040711916732, 0.8909091542199179, 0.9258229003352434, 0.8537163393885145, 0.7687358632618241, 0.8979195894309593, 0.9189716383987475, 0.7013882829533364, 0.904682063207818, 0.9358636413893318, 0.9206525054532982, 0.9007266379095706, 0.5336079128239595, 0.697627889527759, 0.8525075566615504, 0.9243197101542711, 0.9277925833308338, 0.8929147327592508, 0.9301896325587159, 0.886322389209212, 0.9393297462890404, 0.9259706710666818, 0.8872871573342163, 0.8140395312801311, 0.8519743616698585, 0.7924610972541304, 0.7713811928713046, 0.7694640354040093, 0.8940050781566303, 0.8045857267371581, 0.9299762114955479, 0.9233595114052335, 0.8013370843777659, 0.9249856409941734, 0.9168556906151839, 0.8483623629339541, 0.950864786934683, 0.4559026706776286, 0.9157573283130112, 0.439467872693286, 0.7419605108451947, 0.905990116736498, 0.763147418627585, 0.3904249404878235, 0.9137576281343386, 0.8656172021278314, 0.925308465413824, 0.9260293643377565, 0.8866940682974903, 0.9318693831054312, 0.3695268785307049, 0.9295373635212043, 0.8889872485817468, 0.9352449450997615, 0.8631216446461462, 0.9098151473069391, 0.3787663170170569, 0.892628769081652, 0.9268368335844797, 0.9270088802943146, 0.9286441313478394, 0.9120562364828191, 0.9089507178343977, 0.9120926677936356, 0.8374778679700114, 0.9159484280607216, 0.8323738687628199, 0.887807247685829, 0.8654026628786599, 0.8832462930052265, 0.47872211493426325, 0.7770220113009555, 0.9053681215216689, 0.8581338140201296, 0.8758628341222007, 0.9196174198585488, 0.8698624773695594, 0.8885333917502987, 0.8606234032665514, 0.8423768496110128, 0.9652954275458902, 0.8368729087467245, 0.9404157664253098, 0.27110772395143273, 0.4044956243858419, 0.91503406430301, 0.6728922396103486, 0.8283212640257755, 0.08602650574871486, 0.8817191826914422, 0.9005118046332442, 0.8692780195550315, 0.9286354918593188, 0.9215296776480838]",2,val,regression
0.7917473045250907,"[0.8505867940122988, 0.8170630228887787, 0.880828790312569, 0.7597314973936444, 0.8699711144638882, 0.8738736839361038, 0.8175398970249228, 0.837263679696119, 0.8756306480362465, 0.7831939787008599, 0.7630043868726879, 0.8471890842854574, 0.8696230212264188, 0.675498222713327, 0.8551026416086729, 0.8864266810561262, 0.8798783836765076, 0.8311068059825594, 0.5419220142951676, 0.7011994785350499, 0.7752059458097307, 0.8688651341349349, 0.8789919923316453, 0.8372649775548151, 0.8651821411071705, 0.856382250486715, 0.8553124127838766, 0.8609238208330294, 0.8594041824751455, 0.7401150946276687, 0.7654169030409684, 0.7453648090630932, 0.7299414629709842, 0.7210465221607756, 0.8464949279283449, 0.7886785676267605, 0.8538115063994633, 0.8659692135874707, 0.728551695836605, 0.8729466591870516, 0.860063082135104, 0.8135475550254179, 0.8771826944843603, 0.45510782020998064, 0.8819620497177851, 0.4507571905317363, 0.73268319737247, 0.8522297732023091, 0.7526113341046111, 0.3858645940009688, 0.8542245600362323, 0.81842947965177, 0.8611537820104089, 0.8728133379392123, 0.8313824907283307, 0.8756077131700762, 0.3772632004624431, 0.8835193478168445, 0.828194274696977, 0.8610271082154081, 0.8305379127620265, 0.849793510040876, 0.35715197877327715, 0.8411698331532609, 0.862880176238024, 0.8728801599609498, 0.8339145754617447, 0.8711829971463311, 0.8605320382582208, 0.8704248360455031, 0.7988809803441071, 0.8657019876993404, 0.7696102049705027, 0.818278652458909, 0.8275804108281556, 0.8133606991793796, 0.5219512424977724, 0.7743096235382201, 0.8613872618751638, 0.8148419099890328, 0.8075455752210464, 0.8656716789794106, 0.828357985871521, 0.8210369002141576, 0.8540735852701858, 0.8215333752347533, 0.883391158822965, 0.7949414034288348, 0.8726616892234603, 0.3302541609692093, 0.3735561410313009, 0.8655714006509684, 0.6983355196712439, 0.800719630880695, 0.0747717721625962, 0.8011108032045551, 0.8503055582833824, 0.843165812532083, 0.8714418617704157, 0.8698144195019332]",2,test,regression
0.8150749376830475,"[0.9246571334730355, 0.947077522513669, 0.90302552375193, 0.8904255586685558, 0.8159153365040582, 0.940841324667185, 0.3128052397230801, 0.8735822000345271, 0.6098558206363963, 0.39839655296024146, 0.8529304664388172, 0.9413586592284306, 0.5166657013181472, 0.33233780677328706, 0.9468741894615615, 0.5594089969637388, 0.8247484385027767, 0.9265219962646768, 0.9247020367656176, 0.9165276775741058, 0.9185320710923687, 0.9248335810747449, 0.6308982923200694, 0.9110003708550005, 0.8953582713183926, 0.5704634290054252, 0.24135265870491754, 0.9463838571141083, 0.8846503616330211, 0.3508027753262396, 0.9195528098091376, 0.8634122313989105, 0.4081531875550886, 0.7785304367873117, 0.5723719619847469, 0.5024717887659207, 0.9111947295676449, 0.891532454710926, 0.39845814138070107, 0.9161778443048004, 0.31103253839580225, 0.7942741733709288, 0.3351112081130104, 0.771310473014363, 0.874113150583352, 0.9251068862235791, 0.8890378661976744, 0.14874200070123167, 0.15453822730745642, 0.8796025072519733, 0.9117974145536243, 0.8072989658711387, 0.8776256184778766, 0.5554705309423278, 0.9433454671434678, 0.8348147118169584, 0.36551898805870486, 0.9300027533160716, 0.8969085156501139, 0.9129227544992434, 0.9336139455016896, 0.8085964345970823, 0.5281886962140313, 0.36309932206886564, 0.7240053526096886, 0.8853014251929768, 0.8051370541445211, 0.7430683000529038, 0.8448422222178434, 0.8303825331709737, 0.9000420518724105, 0.9235913293559226, 0.8972089773338854, 0.932356418110771, 0.9120012594612453, 0.6687770802125622, 0.8032630129998167, 0.8648776885881287, 0.7712130543637896, 0.869420369220534, 0.9279275231383228, 0.705305837942388, 0.9327099579605247, 0.8826093890498551, 0.8543335335085258, 0.9115102313258633, 0.8418811293389504, 0.9019626432130063, 0.8790445362557863, 0.8508228756319034, 0.9482630600450608, 0.7734416337069381, 0.8358891722414554, 0.874282220511858, 0.7578131967188664, 0.8823725399289343, 0.945421974251042, 0.8236893170027266, 0.7960342347662471, 0.8878506252482218]",3,train,regression
0.8092595177381467,"[0.9445437075679523, 0.9230045794595068, 0.9098534791579304, 0.9129965012472545, 0.8031791033670903, 0.9352006376218354, 0.2894847206038424, 0.8673652002284801, 0.5927835696420733, 0.38141379050250296, 0.8834367697071055, 0.9278429084029329, 0.5030422478724259, 0.34164642793301475, 0.9162097852168772, 0.5354998853553111, 0.8073523493449364, 0.9001974861979165, 0.8897682953129861, 0.9169893547185473, 0.9035618287041876, 0.9207111960765392, 0.6570124725921325, 0.9207228592816679, 0.8769706881103354, 0.5520361678935288, 0.26771651058109575, 0.8810922514735333, 0.8395553769463879, 0.31510294544573475, 0.9326000941124598, 0.8738425772938165, 0.3914272624115731, 0.8148779705907475, 0.6086567408446619, 0.5009267270947724, 0.8786051670680273, 0.9394184705928323, 0.37755391121800586, 0.8988340166710372, 0.2925511417071718, 0.8459709532320077, 0.3529954328089106, 0.7761649557640274, 0.8181350832396289, 0.9159399757904441, 0.865277165416703, 0.141790538784834, 0.15130589754957227, 0.8701584979696687, 0.8812215152254915, 0.8595106949131266, 0.8686786401148564, 0.514217859092389, 0.9605145207885414, 0.8739331314596973, 0.37835047171596076, 0.9399339683674567, 0.8883801020407441, 0.8681602844441783, 0.9236937808331412, 0.7717023434005321, 0.5215258695553662, 0.333636489220259, 0.729938294984042, 0.8508132739256896, 0.8093575534072077, 0.7322475461220818, 0.8586123028467036, 0.8222452427306842, 0.9222481333122721, 0.89267184272351, 0.8887429779816411, 0.9382124701346656, 0.9120881817385589, 0.6517602325819069, 0.7907032823615804, 0.888371476671174, 0.778401309291384, 0.8682827565113316, 0.9226301911840694, 0.6836806591574939, 0.9254818209048036, 0.895654668047436, 0.8547788884980604, 0.9232932892193902, 0.8036738931459729, 0.9290122172653709, 0.8981217962754796, 0.808021713656624, 0.9314984247718767, 0.8368460064474186, 0.8561804698251986, 0.8775157671054025, 0.7448001764689975, 0.8834029787117827, 0.9218324612974101, 0.8256030900918183, 0.8439668169089173, 0.9210972016675741]",3,val,regression
0.7669193985829708,"[0.871421918180542, 0.8721935300377098, 0.8778091004418416, 0.8700656636093627, 0.7406366173398985, 0.874956120419727, 0.32084364034497187, 0.8410988094550852, 0.5867438034347118, 0.385915189308566, 0.8336754077286963, 0.8782873649605378, 0.5057794840550263, 0.34304992861745803, 0.8580534554229926, 0.6201705760093561, 0.8186654206617229, 0.8575535367993053, 0.863099898440974, 0.8547751880976313, 0.8654425506362858, 0.8665582716489175, 0.6406103108257223, 0.8648091115217472, 0.870087192171744, 0.5460880653059148, 0.27335599835028174, 0.8168377447587789, 0.7878116053095073, 0.33161833661928375, 0.888637474605366, 0.8534401259480302, 0.40356914048475667, 0.8268581975958015, 0.5770292631640933, 0.5264570698810551, 0.8378552904388682, 0.8574122003094651, 0.3889686639537779, 0.8344710241978415, 0.31235424431036474, 0.8509748829175984, 0.31458072937459597, 0.7253094070944682, 0.7768003464711711, 0.8812899871459309, 0.8335458020913943, 0.12568207630874986, 0.1501092474911554, 0.7793139470488849, 0.8524711587932575, 0.8146153940744252, 0.8263442547884741, 0.4751673383084398, 0.8898861556962168, 0.7776760414396087, 0.3962707058848281, 0.8979460074569913, 0.8310309007546525, 0.8134541332137557, 0.8827380099363086, 0.7564316163113902, 0.528716568317101, 0.35506706005442173, 0.772264630656069, 0.7985430241492795, 0.7164419468044548, 0.8022680357574882, 0.8237622934614103, 0.7926563985157788, 0.8601553116519342, 0.8426180955448503, 0.8545304036725189, 0.8735064563227172, 0.8471645245127043, 0.6154457242141629, 0.7864751413361156, 0.8260212325292291, 0.7736218449148372, 0.8122294365531905, 0.8672261381648176, 0.6854771105948748, 0.8876012078263961, 0.8121360793722416, 0.7859895551854257, 0.8599660741436079, 0.7499962011244767, 0.8815877898658104, 0.8160299375798408, 0.7870939073281618, 0.8820375096815851, 0.7560645866605223, 0.7729224113828391, 0.8031468517889765, 0.6908057220779772, 0.8210582528763222, 0.875933980059424, 0.8122546278529815, 0.8326876764488047, 0.8854763986444021]",3,test,regression
0.7757872108665023,"[0.9053776023225695, 0.5051482327022093, 0.44690190958555664, 0.8125005213665674, 0.34226397362733274, 0.2703379215194724, 0.8811703292447582, 0.6608403973117175, 0.43806281967642235, 0.6278110444333411, 0.9074721314819767, 0.9008124400402994, 0.8420309998047807, 0.49392647292462805, 0.9056292576500833, 0.2176524378653832, 0.3507909443094645, 0.852404959268606, 0.8633835753402681, 0.8910415081118219, 0.802568203004379, 0.4483046489541138, 0.936891049132824, 0.7640410875811033, 0.8786387937349553, 0.9065406587111593, 0.39996594129081825, 0.8360744661611456, 0.8237670597752015, 0.5787834071368907, 0.9245147939367392, 0.7706850063913938, 0.8935549598214657, 0.6662358499005753, 0.865361438130328, 0.7838516577177225, 0.8994021893613567, 0.8577638230333082, 0.8900664624881245, 0.7442285375242516, 0.7510297476950419, 0.4983347071757234, 0.8768058130795452, 0.9076341588564953, 0.45027779498902704, 0.6080950442447265, 0.8615218879312337, 0.6144165758856077, 0.8239246847720236, 0.8752300459005192, 0.7933251217385052, 0.801813322949724, 0.7627607126027756, 0.7617895532209371, 0.8648245980563455, 0.5963862125710413, 0.6830812624105864, 0.6371028014776744, 0.8873550753966206, 0.8003286984803446, 0.8498069216408441, 0.4775283667088689, 0.9310516043598748, 0.7874505331835013, 0.8793263490195499, 0.9114652263647769, 0.5535993230060563, 0.8973839339028992, 0.8714626181872336, 0.5467448945596523, 0.6358908250268263, 0.7830974999461475, 0.8810080962447946, 0.833095927046938, 0.8547646871533237, 0.7968422726773291, 0.8430962153796052, 0.7989739485767506, 0.8531324107605082, 0.8574554427315589, 0.29449116817368765, 0.8400056089122984, 0.8574674268474262, 0.9097436223034867, 0.8545443622097465, 0.9037892608792311, 0.4473883957524498, 0.7976030304883621, 0.8941601027580687, 0.8232504024657818, 0.7700311649249169, 0.6527637808094131, 0.5795863962911494, 0.3741186673870853, 0.9388719644604282, 0.8708783844866548, 0.872913823772513, 0.8398660048251508, 0.6275808183340257, 0.4185852181247467]",4,train,regression
