score,number_of_features,data_set,model_type
0.5622710622710624,1,train,classification
0.6113138686131386,1,val,classification
0.5838779956427015,1,test,classification
0.5778985507246377,2,train,classification
0.5873741994510522,2,val,classification
0.5860566448801743,2,test,classification
0.6133333333333333,3,train,classification
0.5747960108794198,3,val,classification
0.603411513859275,3,test,classification
0.6101694915254238,4,train,classification
0.5845323741007193,4,val,classification
0.5970149253731343,4,test,classification
0.6131907308377895,5,train,classification
0.5853658536585367,5,val,classification
0.5965665236051502,5,test,classification
0.6160714285714286,6,train,classification
0.6028368794326241,6,val,classification
0.5922023182297155,6,test,classification
0.610320284697509,7,train,classification
0.5985790408525755,7,val,classification
0.5925925925925926,7,test,classification
0.7229551451187335,8,train,classification
0.7274290627687017,8,val,classification
0.7110187110187111,8,test,classification
0.7239263803680982,9,train,classification
0.728213977566868,9,val,classification
0.7163865546218487,9,test,classification
0.7399463806970508,10,train,classification
0.7564216120460584,10,val,classification
0.7481402763018066,10,test,classification
0.7306666666666667,11,train,classification
0.7484662576687117,11,val,classification
0.757607555089192,11,test,classification
0.7353463587921848,12,train,classification
0.7521968365553602,12,val,classification
0.7560209424083769,12,test,classification
0.7350579839429081,13,train,classification
0.7537511032656664,13,val,classification
0.7557894736842106,13,test,classification
0.7504424778761062,14,train,classification
0.7456445993031359,14,val,classification
0.7594142259414224,14,test,classification
0.7730496453900708,15,train,classification
0.7757255936675462,15,val,classification
0.7701993704092339,15,test,classification
0.775330396475771,16,train,classification
0.7796312554872695,16,val,classification
0.7689075630252102,16,test,classification
0.7738515901060071,17,train,classification
0.7807017543859649,17,val,classification
0.7692307692307692,17,test,classification
0.7777777777777777,18,train,classification
0.7837599293909974,18,val,classification
0.7732497387669801,18,test,classification
0.7719609582963621,19,train,classification
0.7894273127753304,19,val,classification
0.7771911298838438,19,test,classification
0.7761989342806395,20,train,classification
0.7901668129938542,20,val,classification
0.7718191377497371,20,test,classification
0.7801418439716312,21,train,classification
0.7890070921985817,21,val,classification
0.7815126050420168,21,test,classification
0.7883082373782107,22,train,classification
0.8017543859649123,22,val,classification
0.7911857292759706,22,test,classification
0.7865367581930912,23,train,classification
0.8017543859649123,23,val,classification
0.7899159663865546,23,test,classification
0.791111111111111,24,train,classification
0.797190517998244,24,val,classification
0.7878151260504203,24,test,classification
0.7942754919499105,25,train,classification
0.7939068100358423,25,val,classification
0.8029978586723769,25,test,classification
0.7964444444444445,26,train,classification
0.7953529937444147,26,val,classification
0.8012889366272824,26,test,classification
0.8064516129032259,27,train,classification
0.8014311270125224,27,val,classification
0.8047210300429185,27,test,classification
0.8121645796064401,28,train,classification
0.7982142857142858,28,val,classification
0.8055555555555555,28,test,classification
0.8103294746215493,29,train,classification
0.8003565062388591,29,val,classification
0.8059701492537313,29,test,classification
0.8053571428571429,30,train,classification
0.797153024911032,30,val,classification
0.8076923076923077,30,test,classification
0.8046387154326494,31,train,classification
0.802841918294849,31,val,classification
0.8076923076923077,31,test,classification
0.8067675868210151,32,train,classification
0.8042515500442871,32,val,classification
0.8123667377398721,32,test,classification
0.8201438848920862,33,train,classification
0.8057040998217468,33,val,classification
0.8122362869198312,33,test,classification
0.8204667863554759,34,train,classification
0.8074866310160428,34,val,classification
0.8114406779661018,34,test,classification
0.8179372197309416,35,train,classification
0.8032056990204808,35,val,classification
0.8185654008438819,35,test,classification
0.8122192273135669,36,train,classification
0.8003581020590869,36,val,classification
0.8215417106652587,36,test,classification
0.8126126126126126,37,train,classification
0.8035714285714286,37,val,classification
0.821917808219178,37,test,classification
0.8139534883720931,38,train,classification
0.8118279569892473,38,val,classification
0.8194297782470961,38,test,classification
0.8128342245989304,39,train,classification
0.8149466192170819,39,val,classification
0.8173178458289334,39,test,classification
0.8204667863554759,40,train,classification
0.8092280390417036,40,val,classification
0.8232804232804232,40,test,classification
0.8179372197309416,41,train,classification
0.8067375886524822,41,val,classification
0.8216560509554142,41,test,classification
0.8180180180180181,42,train,classification
0.8116710875331564,42,val,classification
0.8255319148936169,42,test,classification
0.8169522091974751,43,train,classification
0.8116710875331564,43,val,classification
0.8259023354564756,43,test,classification
0.8147482014388491,44,train,classification
0.8120035304501324,44,val,classification
0.8267800212539851,44,test,classification
0.8168761220825853,45,train,classification
0.8109540636042404,45,val,classification
0.8267800212539851,45,test,classification
0.821203953279425,46,train,classification
0.802841918294849,46,val,classification
