feature_selection_score,random_selection_score,number_of_features,data_set,model_type
0.46447507953340406,0.3384253819036428,1,train,classification
0.4827586206896552,0.30966239813736907,1,val,classification
0.49683143219264886,0.33936022253129344,1,test,classification
0.46447507953340406,0.42749731471535984,2,train,classification
0.4843918191603876,0.4439701173959445,2,val,classification
0.49873417721518987,0.4388398486759142,2,test,classification
0.5692742695570217,0.4472573839662447,3,train,classification
0.5653436592449177,0.4677754677754678,3,val,classification
0.5769669327251995,0.46134969325153374,3,test,classification
0.5692742695570217,0.5195312500000001,4,train,classification
0.5653436592449177,0.5260058881256133,4,val,classification
0.5769669327251995,0.5308498253783469,4,test,classification
0.5692742695570217,0.6839378238341969,5,train,classification
0.5653436592449177,0.6767050487156776,5,val,classification
0.5769669327251995,0.7062499999999999,5,test,classification
0.5652173913043479,0.6725507502206531,6,train,classification
0.5458052073288332,0.6672678088367899,6,val,classification
0.5622857142857143,0.6895810955961332,6,test,classification
0.5652173913043479,0.6743362831858407,7,train,classification
0.5463320463320464,0.6636528028933093,7,val,classification
0.5622857142857143,0.6889128094725511,7,test,classification
0.7212822796081924,0.6967071057192374,8,train,classification
0.7091069849690539,0.687170474516696,8,val,classification
0.7172995780590717,0.7118997912317327,8,test,classification
0.7212822796081924,0.7103139013452916,9,train,classification
0.7091069849690539,0.7109090909090909,9,val,classification
0.7172995780590717,0.7348242811501597,9,test,classification
0.7303571428571427,0.7335047129391602,10,train,classification
0.7446808510638298,0.7213973799126638,10,val,classification
0.7595744680851063,0.7370558375634517,10,test,classification
0.7303571428571427,0.7515695067264575,11,train,classification
0.7446808510638298,0.7345454545454545,11,val,classification
0.7595744680851063,0.7320837927232635,11,test,classification
0.7262969588550984,0.7531305903398926,12,train,classification
0.7474226804123711,0.7341772151898733,12,val,classification
0.7552742616033754,0.7360350492880613,12,test,classification
0.7292616226071102,0.767713004484305,13,train,classification
0.7524575513851653,0.7472727272727273,13,val,classification
0.744842562432139,0.7458379578246392,13,test,classification
0.7585601404741001,0.767713004484305,14,train,classification
0.7547169811320754,0.7468123861566484,14,val,classification
0.7693920335429768,0.7436182019977804,14,test,classification
0.7617328519855596,0.7677304964539008,15,train,classification
0.7695035460992908,0.7378995433789955,15,val,classification
0.7508021390374332,0.7444444444444445,15,test,classification
0.7619893428063943,0.769367764915405,16,train,classification
0.7751531058617672,0.7388535031847133,16,val,classification
0.7706806282722513,0.7402452619843924,16,test,classification
0.757875787578758,0.7611408199643492,17,train,classification
0.7766990291262136,0.7402005469462168,17,val,classification
0.7697160883280758,0.7508305647840532,17,test,classification
0.7783687943262412,0.772117962466488,18,train,classification
0.7826086956521737,0.7415525114155253,18,val,classification
0.7654584221748402,0.7560975609756098,18,test,classification
0.777284826974268,0.7768888888888887,19,train,classification
0.7815275310834813,0.7404021937842779,19,val,classification
0.7662753468516542,0.7705817782656422,19,test,classification
0.7725245316681535,0.7633451957295374,20,train,classification
0.7840707964601769,0.7650765076507651,20,val,classification
0.7630180658873539,0.7854855923159019,20,test,classification
0.7742520398912058,0.7776777677767777,21,train,classification
0.7656940760389035,0.7735507246376813,21,val,classification
0.7526652452025586,0.7813852813852813,21,test,classification
0.7856502242152466,0.7952898550724637,22,train,classification
0.7823788546255508,0.8065099457504521,22,val,classification
0.7758985200845666,0.7903930131004367,22,test,classification
0.7688172043010753,0.7883742052679382,23,train,classification
0.7898866608544028,0.8075880758807589,23,val,classification
0.7763713080168776,0.7938596491228069,23,test,classification
0.7719928186714543,0.7952898550724637,24,train,classification
0.7546833184656556,0.8172043010752689,24,val,classification
0.7609860664523044,0.7947598253275109,24,test,classification
0.7770700636942675,0.7923844061650045,25,train,classification
0.768392370572207,0.8154121863799283,25,val,classification
0.7749725576289791,0.7929901423877327,25,test,classification
0.7826871055004508,0.8050770625566638,26,train,classification
0.7827648114901257,0.8176895306859204,26,val,classification
0.7747551686615887,0.7999999999999999,26,test,classification
0.7899008115419296,0.806131650135257,27,train,classification
0.7859712230215828,0.8184281842818428,27,val,classification
0.790096878363832,0.808695652173913,27,test,classification
0.7807971014492754,0.808664259927798,28,train,classification
0.7775768535262205,0.8169522091974752,28,val,classification
0.7904967602591793,0.806941431670282,28,test,classification
0.8024911032028469,0.8054054054054054,29,train,classification
0.7776777677767777,0.8119349005424955,29,val,classification
0.7856388595564943,0.8069039913700109,29,test,classification
0.7975352112676056,0.7661870503597122,30,train,classification
0.7921146953405018,0.7963470319634705,30,val,classification
0.8050579557428873,0.810400866738895,30,test,classification
0.7928571428571428,0.7666068222621185,31,train,classification
0.7824529991047448,0.7926940639269406,31,val,classification
0.7885835095137421,0.815135135135135,31,test,classification
0.7985803016858918,0.8104222821203952,32,train,classification
0.7870619946091646,0.8255395683453236,32,val,classification
0.7961579509071505,0.8112189859762676,32,test,classification
0.7992831541218638,0.8176895306859207,33,train,classification
0.7953321364452424,0.8273381294964028,33,val,classification
0.7879440258342303,0.8108108108108109,33,test,classification
0.8078641644325291,0.8184281842818427,34,train,classification
0.797153024911032,0.8262826282628264,34,val,classification
