feature_selection_score,random_selection_score_list,number_of_features,data_set,model_type
0.46447507953340406,"[0.5279685966633955, 0.445369406867846, 0.0, 0.3667481662591688, 0.4520990312163617, 0.6654028436018957, 0.604417670682731, 0.7781818181818182, 0.5631840796019901, 0.38592508513053353, 0.07796610169491525, 0.4146868250539957, 0.30325814536340856, 0.5725047080979284, 0.5004926108374385, 0.4628450106157113, 0.01436265709156194, 0.5858778625954199, 0.5436893203883494, 0.0, 0.5015479876160991, 0.6115241635687731, 0.2749675745784695, 0.47193347193347196, 0.0, 0.6382222222222221, 0.3892145369284877, 0.12195121951219513, 0.49685534591194974, 0.566321730950141, 0.42971428571428566, 0.5120167189132706, 0.4106280193236715, 0.5177865612648221, 0.5368217054263567, 0.4543524416135881, 0.550921435499515, 0.5649157581764123, 0.5188118811881188, 0.5477338476374156, 0.5970149253731344, 0.36554132712456344, 0.4013683010262258, 0.6325581395348838, 0.36705882352941177, 0.48775510204081635, 0.0, 0.5454545454545455, 0.5766634522661523, 0.0, 0.619402985074627, 0.6172839506172839, 0.0, 0.5682031984948259, 0.5399610136452241, 0.0, 0.6088669950738916, 0.44672131147540983, 0.5913555992141454, 0.5864374403056353, 0.6915555555555556, 0.11671924290220821, 0.5638506876227898, 0.44897959183673464, 0.6033834586466165, 0.3496332518337409, 0.0, 0.20913107511045656, 0.0, 0.386046511627907, 0.0, 0.5667627281460135, 0.0, 0.0, 0.5636540330417882, 0.2083897158322057, 0.5765258215962441, 0.0, 0.5630676084762866, 0.55893536121673, 0.5618408437200384, 0.44397011739594455, 0.5628742514970061, 0.545271629778672, 0.0, 0.30014025245441794, 0.6567441860465116, 0.6206244087038788, 0.5397784491440081, 0.4259850905218317, 0.529351184346035, 0.0, 0.525231719876416, 0.6728452270620946, 0.6477584629460201, 0.6533212010919017, 0.13010590015128595, 0.6636197440585009, 0.6117867165575304, 0.0]",1,train,classification
0.4827586206896552,"[0.5203883495145631, 0.47058823529411764, 0.0, 0.3821039903264812, 0.4628099173553719, 0.6400742115027829, 0.623721881390593, 0.7779783393501805, 0.5646594274432379, 0.4058624577226606, 0.06101694915254237, 0.40889830508474573, 0.3522167487684729, 0.5772811918063314, 0.509469696969697, 0.45708376421923474, 0.017513134851138354, 0.6148148148148148, 0.548604427333975, 0.0, 0.5139999999999999, 0.6152433425160697, 0.3277511961722488, 0.5036119711042312, 0.0, 0.6095581605049595, 0.3808411214953271, 0.14202898550724635, 0.46903553299492384, 0.5446182152713892, 0.4037558685446009, 0.5090180360721444, 0.39298245614035093, 0.5177372962607861, 0.5437079731027857, 0.4544502617801047, 0.5569620253164558, 0.5719661335841957, 0.5049900199600799, 0.5782442748091603, 0.580584354382658, 0.4163898117386489, 0.4336283185840708, 0.6229508196721311, 0.3995459704880817, 0.4606181455633101, 0.0, 0.5507518796992481, 0.5724838411819022, 0.0, 0.6003717472118959, 0.6200378071833649, 0.0, 0.5725047080979284, 0.5322896281800391, 0.0, 0.5943304007820137, 0.43540183112919634, 0.5963213939980639, 0.5835641735918744, 0.6753472222222222, 0.10312500000000001, 0.5489478499542544, 0.49266247379454925, 0.5958254269449715, 0.3758542141230068, 0.0, 0.16470588235294117, 0.0, 0.41262683201803835, 0.0, 0.5872727272727272, 0.0, 0.0, 0.5714285714285715, 0.2032085561497326, 0.5476864966949953, 0.0, 0.5318725099601593, 0.5961165048543688, 0.5833333333333334, 0.4331210191082802, 0.5786046511627907, 0.5298281092012134, 0.0, 0.2535211267605634, 0.6192619261926192, 0.6565566458519179, 0.5326829268292682, 0.446058091286307, 0.5232323232323234, 0.0, 0.5286160249739854, 0.6845018450184501, 0.5998107852412489, 0.6763698630136986, 0.1500721500721501, 0.6432432432432432, 0.6209453197405005, 0.0]",1,val,classification
0.49683143219264886,"[0.5186862967157417, 0.43896424167694204, 0.0, 0.3988439306358381, 0.44866920152091255, 0.6244343891402715, 0.6119951040391678, 0.7814854682454252, 0.5700712589073634, 0.3972413793103448, 0.07755102040816327, 0.41655886157826644, 0.32805755395683456, 0.5549510337323177, 0.48109965635738833, 0.44810126582278476, 0.0, 0.5863636363636364, 0.5753114382785957, 0.0, 0.4880382775119617, 0.6565874730021599, 0.3148425787106447, 0.4659498207885305, 0.0, 0.62, 0.352773826458037, 0.11272727272727272, 0.458852867830424, 0.5816216216216216, 0.35883171070931846, 0.46585365853658534, 0.35882352941176476, 0.5074626865671642, 0.5545243619489559, 0.4542032622333751, 0.5626477541371159, 0.5341040462427745, 0.508433734939759, 0.5995475113122171, 0.6200873362445415, 0.3457814661134163, 0.3989431968295905, 0.6437291897891233, 0.35918367346938773, 0.48655256723716384, 0.0, 0.5460829493087558, 0.5807174887892378, 0.0, 0.6259711431742508, 0.6013667425968108, 0.0, 0.6188925081433224, 0.5361305361305361, 0.0, 0.6020524515393387, 0.4282178217821782, 0.581691772885284, 0.5960698689956332, 0.6708333333333334, 0.08644400785854618, 0.5555555555555556, 0.45031446540880504, 0.6261261261261262, 0.3376251788268956, 0.0, 0.20603907637655416, 0.0, 0.3978638184245661, 0.0, 0.540782122905028, 0.0, 0.0, 0.562929061784897, 0.20602218700475436, 0.5727272727272728, 0.0, 0.5274463007159905, 0.6104328523862375, 0.5900900900900901, 0.45278450363196127, 0.5257142857142858, 0.5465538089480049, 0.0, 0.24108658743633277, 0.6341991341991342, 0.6062639821029083, 0.4727272727272728, 0.4025157232704403, 0.48275862068965514, 0.0, 0.4847715736040609, 0.6550218340611353, 0.6295884315906564, 0.6259378349410504, 0.1433566433566434, 0.6473740621650589, 0.6297502714440826, 0.0]",1,test,classification
0.0,"[0.4356435643564356, 0.4634655532359082, 0.6496694995278566, 0.5973025048169557, 0.6678966789667897, 0.6184586108468125, 0.6083576287657921, 0.6328413284132841, 0.5363457760314342, 0.541544477028348, 0.5025641025641026, 0.5793721973094169, 0.5506149479659413, 0.5233463035019454, 0.6352723915050784, 0.683974932855864, 0.6140845070422536, 0.6269477543538038, 0.5399610136452241, 0.6018867924528303, 0.5272727272727272, 0.634011090573013, 0.6050269299820467, 0.4879032258064516, 0.5804651162790697, 0.5974534769833496, 0.20574886535552192, 0.6648096564531105, 0.7034358047016276, 0.6107899807321773, 0.6593806921675776, 0.6035283194057567, 0.6115537848605578, 0.6385542168674699, 0.4311111111111111, 0.6308973172987974, 0.6025267249757046, 0.5980198019801979, 0.6402164111812444, 0.650557620817844, 0.4531085353003162, 0.5962854349951124, 0.5523429710867397, 0.13268608414239483, 0.6349496797804209, 0.5606936416184971, 0.563953488372093, 0.6563407550822846, 0.6799276672694394, 0.6081871345029239, 0.5898174831892412, 0.6684587813620071, 0.5794768611670019, 0.0036968576709796672, 0.7333939945404915, 0.5188866799204772, 0.6386093321134492, 0.5975723622782446, 0.65237651444548, 0.5277777777777777, 0.6720142602495544, 0.5235294117647058, 0.06122448979591837, 0.6226583407671721, 0.6548507462686567, 0.516504854368932, 0.5417867435158501, 0.6060054595086442, 0.6268656716417911, 0.6824385805277524, 0.564729867482161, 0.6195652173913043, 0.5071868583162217, 0.6246362754607178, 0.6086956521739131, 0.6436119116234389, 0.052083333333333336, 0.6041237113402063, 0.49750249750249753, 0.2633637548891786, 0.7803099361896081, 0.6159624413145539, 0.633397312859885, 0.6636528028933093, 0.6143667296786388, 0.5588822355289421, 0.12792511700468018, 0.6557377049180328, 0.5619047619047618, 0.5454545454545455, 0.6239396795475967, 0.6938775510204083, 0.6119273984442525, 0.6097794822627038, 0.5680705190989227, 0.5054080629301869, 0.5479452054794519, 0.6552706552706552, 0.7926267281105991, 0.5481927710843373]",2,train,classification
0.0035273368606701942,"[0.4226579520697168, 0.4544502617801047, 0.6856617647058824, 0.5792452830188679, 0.6893464637421665, 0.6185185185185186, 0.6178707224334601, 0.6596306068601583, 0.5009823182711198, 0.5503355704697988, 0.5657764589515332, 0.5513513513513514, 0.528957528957529, 0.5401174168297456, 0.6235186873290794, 0.6786941580756014, 0.6502732240437159, 0.6519434628975265, 0.5176022835394863, 0.5808325266214908, 0.5295887662988967, 0.6515837104072397, 0.5858761987794245, 0.4743083003952569, 0.5849731663685152, 0.6231454005934718, 0.21068249258160238, 0.6944696282864914, 0.6961130742049468, 0.5762081784386617, 0.6593001841620626, 0.6123188405797101, 0.6024340770791076, 0.6217354675652907, 0.4155844155844156, 0.642791551882461, 0.5862745098039216, 0.5814889336016097, 0.6103286384976526, 0.6338289962825278, 0.4491525423728814, 0.6028436018957345, 0.5798816568047338, 0.11556982343499196, 0.6229508196721311, 0.5506149479659413, 0.5852749301025163, 0.6504854368932038, 0.6408640864086409, 0.6421152030217187, 0.5628042843232716, 0.6654411764705882, 0.55859375, 0.0, 0.7491039426523296, 0.5140712945590994, 0.6244424620874219, 0.6544454628780935, 0.647940074906367, 0.5564356435643565, 0.6568265682656826, 0.5111561866125761, 0.07590759075907591, 0.6328195829555756, 0.6258246936852027, 0.5, 0.5573770491803278, 0.5978260869565217, 0.612781954887218, 0.6546112115732369, 0.5982404692082112, 0.6153846153846154, 0.5413687436159347, 0.6190917516218721, 0.6198198198198198, 0.6323666978484564, 0.020654044750430294, 0.592964824120603, 0.492, 0.24643320363164722, 0.7914438502673797, 0.6509090909090909, 0.5953307392996109, 0.672, 0.6355311355311355, 0.5763688760806917, 0.14804063860667635, 0.6515837104072397, 0.5328330206378986, 0.547945205479452, 0.6266173752310535, 0.7005444646098004, 0.5959933222036727, 0.6248812915479582, 0.5816733067729084, 0.5061845861084681, 0.5498084291187739, 0.6580882352941176, 0.778175313059034, 0.5858389912706111]",2,val,classification
0.0,"[0.39361702127659576, 0.4542032622333751, 0.6688668866886689, 0.5809414466130884, 0.6837606837606838, 0.6507592190889371, 0.5947786606129398, 0.6659663865546219, 0.5207100591715977, 0.5542725173210161, 0.5078219013237064, 0.5517970401691331, 0.5156250000000001, 0.5581920903954802, 0.6402640264026402, 0.6918918918918919, 0.6167400881057268, 0.6115342763873776, 0.5169590643274854, 0.6169265033407572, 0.5532934131736527, 0.6262188515709642, 0.6118626430801248, 0.47517730496453897, 0.6026200873362445, 0.6153846153846154, 0.18281535648994512, 0.6418400876232201, 0.6949327817993796, 0.5383734249713631, 0.6710097719869706, 0.613588110403397, 0.6177514792899408, 0.6349534643226473, 0.3908355795148248, 0.639470782800441, 0.6133960047003524, 0.5690072639225182, 0.6271186440677966, 0.6249999999999999, 0.4438775510204081, 0.5412311265969802, 0.5895953757225434, 0.12648221343873517, 0.6094609460946094, 0.5378531073446328, 0.5374149659863946, 0.6589861751152074, 0.6840458811261731, 0.5589307411907655, 0.5727699530516432, 0.6802575107296138, 0.5519713261648744, 0.013129102844638951, 0.732824427480916, 0.5074971164936563, 0.5988950276243094, 0.616061606160616, 0.6515837104072398, 0.556844547563805, 0.7, 0.5525114155251141, 0.060851926977687626, 0.637433155080214, 0.6199095022624435, 0.5367561260210034, 0.5460674157303371, 0.6103896103896105, 0.601336302895323, 0.6941964285714286, 0.5559481743227326, 0.6248648648648649, 0.535077288941736, 0.6029919447640967, 0.6259541984732824, 0.6406926406926406, 0.0419287211740042, 0.6073546856465005, 0.5259515570934257, 0.19900497512437812, 0.7859424920127794, 0.6177437020810516, 0.656, 0.6817204301075268, 0.6117381489841986, 0.5554259043173863, 0.12750455373406194, 0.6251342642320086, 0.518018018018018, 0.5589919816723941, 0.6374589266155531, 0.7192224622030237, 0.6112224448897795, 0.639821029082774, 0.5433255269320844, 0.5, 0.5485714285714285, 0.6280087527352297, 0.7973997833152763, 0.5661680092059839]",2,test,classification
0.5692742695570217,"[0.6188257222739981, 0.5832512315270937, 0.5636192271442035, 0.6605504587155963, 0.6001881467544685, 0.5844402277039848, 0.6417212347988774, 0.6468468468468468, 0.6285160038797285, 0.6628131021194605, 0.5889101338432122, 0.6817769718948322, 0.6142595978062158, 0.6357738646895273, 0.6990990990990992, 0.6355851569933397, 0.7726432532347504, 0.6471144749290445, 0.5996204933586338, 0.5387523629489603, 0.623574144486692, 0.6189111747851003, 0.5311284046692607, 0.6995433789954338, 0.6660323501427212, 0.6771799628942486, 0.585781990521327, 0.48571428571428565, 0.6765799256505576, 0.5733990147783252, 0.6457739791073124, 0.6146527117031398, 0.715695067264574, 0.6045142296368989, 0.754337899543379, 0.5474308300395256, 0.6610169491525424, 0.7178082191780821, 0.6105263157894736, 0.6666666666666667, 0.643330179754021, 0.488421052631579, 0.6242990654205608, 0.6773584905660377, 0.6819012797074955, 0.8040665434380776, 0.7039413382218148, 0.5593719332679097, 0.6390197926484449, 0.1067503924646782, 0.7772685609532538, 0.6874427131072411, 0.6805807622504537, 0.6199813258636788, 0.6470028544243578, 0.5703200775945684, 0.5539637058261699, 0.5748502994011976, 0.6625874125874126, 0.6893464637421666, 0.6134122287968441, 0.6503178928247049, 0.5828460038986355, 0.6138996138996139, 0.6963788300835654, 0.6958105646630237, 0.6845878136200717, 0.5767350928641252, 0.544921875, 0.6074498567335243, 0.5374878286270691, 0.6344186046511628, 0.6762468300929839, 0.644131455399061, 0.7380530973451328, 0.5519230769230768, 0.6082191780821917, 0.6373831775700934, 0.568421052631579, 0.6035283194057567, 0.6490428441203281, 0.6485473289597001, 0.6751361161524501, 0.5440158259149357, 0.6903460837887068, 0.6493273542600897, 0.6567441860465116, 0.5060728744939271, 0.5544747081712063, 0.5503875968992248, 0.6359447004608295, 0.6106442577030812, 0.5670498084291189, 0.5396188565697092, 0.5694849368318756, 0.7265917602996255, 0.6923766816143497, 0.5507537688442211, 0.5784797630799605, 0.6274149034038639]",3,train,classification
0.5653436592449177,"[0.6491387126019944, 0.605009633911368, 0.5664739884393063, 0.6739130434782609, 0.6288848263254114, 0.5738476011288804, 0.630188679245283, 0.6069745523091422, 0.643253234750462, 0.6654377880184331, 0.605009633911368, 0.6912280701754386, 0.650865998176846, 0.5984848484848485, 0.6902654867256637, 0.6220614828209765, 0.7801287948482061, 0.6286764705882353, 0.5661424606845512, 0.5465004793863854, 0.6469534050179211, 0.6265938069216758, 0.5177111716621253, 0.7141600703605981, 0.6599264705882353, 0.6712922810060711, 0.5735430157261794, 0.4329643296432964, 0.6709323583180988, 0.5668549905838042, 0.6616822429906543, 0.6289424860853432, 0.7154326494201606, 0.6385767790262172, 0.7379873073436084, 0.5540540540540541, 0.658158614402917, 0.6864864864864866, 0.6240875912408759, 0.6943942133815552, 0.6530232558139535, 0.42566844919786095, 0.6429872495446266, 0.6772684752104771, 0.6678733031674209, 0.8021877848678214, 0.6968085106382979, 0.5688976377952755, 0.5892193308550185, 0.13793103448275865, 0.7893772893772895, 0.6525345622119816, 0.6504217432052483, 0.6053853296193128, 0.6894586894586895, 0.6124401913875598, 0.5800193986420951, 0.5998071359691418, 0.6251097453906936, 0.6927272727272727, 0.6532951289398281, 0.6606170598911071, 0.5459825750242013, 0.5846736045411542, 0.6580166821130677, 0.7135325131810193, 0.6870095902353966, 0.6043851286939943, 0.5468451242829828, 0.6129917657822507, 0.5474095796676443, 0.6368821292775666, 0.6655290102389079, 0.6623853211009174, 0.728737690241719, 0.5337186897880539, 0.5876010781671158, 0.6604651162790698, 0.5865921787709497, 0.5954751131221719, 0.630009319664492, 0.6450381679389312, 0.6820603907637655, 0.4955752212389381, 0.6690712353471595, 0.6447488584474885, 0.6648550724637682, 0.49848024316109424, 0.5201238390092879, 0.5175097276264592, 0.6542056074766356, 0.6265938069216758, 0.607825295723385, 0.5864077669902913, 0.5754451733833177, 0.7419056429232193, 0.7007042253521126, 0.5579999999999999, 0.5811623246492986, 0.6012950971322849]",3,val,classification
0.5769669327251995,"[0.6351648351648351, 0.6135105204872646, 0.5595505617977529, 0.6464208242950109, 0.6, 0.5526011560693641, 0.6361655773420479, 0.5945355191256831, 0.6275395033860045, 0.6732673267326733, 0.6167400881057268, 0.7052631578947369, 0.6256860592755213, 0.6117908787541714, 0.6652078774617067, 0.6330777656078861, 0.7718918918918919, 0.5921052631578947, 0.5597269624573379, 0.5483870967741935, 0.637069922308546, 0.5787709497206704, 0.4977375565610859, 0.6948257655755016, 0.67907995618839, 0.7035069075451647, 0.5464480874316939, 0.43515850144092216, 0.6885964912280702, 0.5773672055427251, 0.6718061674008812, 0.6388261851015802, 0.7358288770053476, 0.6339869281045751, 0.7332624867162594, 0.5353075170842825, 0.6718061674008812, 0.7175080558539205, 0.5796105383734249, 0.6747787610619469, 0.6241610738255033, 0.4424778761061947, 0.6306306306306306, 0.671892497200448, 0.6868250539956803, 0.8040089086859687, 0.6788399570354459, 0.570430733410943, 0.5986696230598669, 0.13285457809694792, 0.7819209039548023, 0.685344827586207, 0.6804798255179935, 0.6064659977703455, 0.6576879910213244, 0.5871345029239767, 0.5630153121319199, 0.5730994152046783, 0.648, 0.7071583514099782, 0.6594360086767895, 0.6680942184154175, 0.557109557109557, 0.5973154362416109, 0.6883821932681867, 0.7173913043478262, 0.672322375397667, 0.6043829296424451, 0.5546605293440736, 0.586433260393873, 0.5375586854460094, 0.6576271186440678, 0.6620278330019881, 0.6478873239436619, 0.7578288100208768, 0.5264341957255343, 0.577433628318584, 0.6681415929203539, 0.6010928961748635, 0.6019629225736096, 0.6659482758620688, 0.6361556064073226, 0.6883116883116883, 0.511033681765389, 0.6645091693635382, 0.6345733041575493, 0.6503340757238308, 0.5480093676814988, 0.5264394829612221, 0.553238199780461, 0.6467991169977925, 0.614190687361419, 0.5940366972477064, 0.5737514518002322, 0.5867861142217244, 0.7568756875687569, 0.7067510548523208, 0.5791411042944786, 0.6013986013986015, 0.6179039301310044]",3,test,classification
0.5635673624288425,"[0.5901960784313726, 0.6641580432737535, 0.6159695817490494, 0.709141274238227, 0.5424710424710424, 0.6531738730450781, 0.692967409948542, 0.7197231833910035, 0.5582706766917293, 0.7017873941674506, 0.6537396121883656, 0.588124410933082, 0.6600896860986548, 0.6286266924564797, 0.6803939122649955, 0.6028985507246377, 0.5998142989786444, 0.5672227674190382, 0.6400759734093068, 0.6382978723404256, 0.5492125984251968, 0.6875000000000001, 0.673394495412844, 0.6518105849582173, 0.6609360076408787, 0.6935779816513762, 0.6254681647940075, 0.6745240253853128, 0.6065727699530516, 0.6987522281639929, 0.6679069767441861, 0.6951871657754011, 0.676056338028169, 0.7329192546583851, 0.6512455516014235, 0.6731448763250883, 0.6856095325389551, 0.6233269598470363, 0.6084275436793423, 0.6455696202531646, 0.7118023787740165, 0.6654867256637168, 0.7015902712815716, 0.6304957904583723, 0.5762045231071781, 0.725254394079556, 0.5979186376537369, 0.6133828996282529, 0.6795224977043159, 0.6066985645933014, 0.6228239845261121, 0.7561643835616437, 0.5243523316062176, 0.6592592592592593, 0.7796917497733454, 0.7077205882352943, 0.7203539823008849, 0.6702702702702703, 0.5149700598802395, 0.6266009852216748, 0.5852713178294574, 0.5996168582375478, 0.6206896551724138, 0.6447368421052633, 0.6678899082568807, 0.2187938288920056, 0.556, 0.5809617271835134, 0.7178571428571429, 0.6305609284332689, 0.6220183486238532, 0.7261373773416593, 0.6654643823264202, 0.6429223744292236, 0.6491063029162747, 0.6262230919765167, 0.7366515837104073, 0.6280373831775701, 0.7102115915363385, 0.6123650637880276, 0.6889089269612264, 0.5506692160611855, 0.5643070787637089, 0.7518382352941178, 0.686623012160898, 0.6811201445347786, 0.5834109972041006, 0.6195546950629236, 0.5541706615532119, 0.6288951841359772, 0.4552008238928939, 0.6226053639846743, 0.5558852621167161, 0.5901960784313726, 0.7381818181818182, 0.623229461756374, 0.5912195121951219, 0.6804308797127468, 0.607421875, 0.657065706570657]",4,train,classification
