Time,Metric_precision,Metric_recall,Metric_f1-score,Metric_support,Param_model_type,Param_model_name,Param_columns_to_remove,Param_seed,Param_test_size,Param_val_size,Param_target_col,Param_output_path,Param_run_type,Param_K,Param_random_state,Param_alpha,Param_l1_ratio,Param_C,Param_fs_method_1,Param_fs_method_2,Param_n_features_to_select,Param_preprocessing_operations,Param_encoder_name,Param_scaler_name,Param_cv,Param_verbose,Param_scoring,Param_max_features,Param_n_population,Param_crossover_proba,Param_mutation_proba,Param_n_generations,Param_crossover_independent_proba,Param_mutation_independent_proba,Param_tournament_size,Param_n_gen_no_change,Param_caching,Param_n_jobs,Param_fit_intercept,Param_fs_params,Param_hyper_params_dict
2023-08-07 12:07:00,0.89805,0.89823,0.89793,921.0,classification - baseline,LogisticRegression,"['ER', 'PAM50', 'time', 'event', 'Lympho', 'cluster2', 'LumA_target']",42.0,0.3,0.5,LumA_target,,train,20.0,123.0,0.1,0.5,0.01,,,,"['remove_constant_columns', 'remove_nan_columns']",OneHotEncoder,StandardScaler,5.0,2.0,neg_mean_squared_error,40.0,100.0,0.5,0.2,7.0,0.5,0.04,3.0,4.0,True,-1.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-07 12:15:00,0.87838,0.87796,0.8773,921.0,classification,LogisticRegression,"['ER', 'PAM50', 'time', 'event', 'Lympho', 'cluster2', 'LumA_target']",42.0,0.3,0.5,LumA_target,,train,200.0,123.0,0.1,0.5,0.01,mrmr,,,"['remove_constant_columns', 'remove_nan_columns']",OneHotEncoder,StandardScaler,5.0,2.0,neg_mean_squared_error,40.0,100.0,0.5,0.2,7.0,0.5,0.04,3.0,4.0,True,-1.0,,,
2023-07-19 22:39:16,0.8566,0.85675,0.85664,921.0,classification,LogisticRegression,"['ER', 'PAM50', 'time', 'event', 'Lympho', 'cluster2', 'LumA_target']",42.0,0.3,0.5,LumA_target,,train,,,,,,,,,"['remove_constant_columns', 'remove_nan_columns', 'create_x_y']",OneHotEncoder,StandardScaler,,,,,,,,,,,,,,-1.0,True,"{'K': 10, 'fs_method_1': 'mrmr', 'model_type': 'classification', 'alpha': 0.1, 'l1_ratio': 0.5, 'C': 0.01, 'cv': 5, 'verbose': 2, 'max_features': 200, 'n_population': 100, 'crossover_proba': 0.5, 'mutation_proba': 0.2, 'n_generations': 7, 'crossover_independent_proba': 0.5, 'mutation_independent_proba': 0.04, 'tournament_size': 3, 'n_gen_no_change': 4, 'caching': True, 'n_jobs': -1, 'random_state': 123, 'n_features_to_select': 5}","{'fit_intercept': [True, False], 'n_jobs': [2, 4], 'C': [0.001, 0.01, 0.1, 1, 10, 100], 'penalty': ['l1', 'l2', 'elasticnet', 'none'], 'solver': ['newton-cg', 'lbfgs', 'liblinear', 'sag', 'saga']}"
2023-07-19 22:45:45,0.8566,0.85675,0.85664,921.0,classification,LogisticRegression,"['ER', 'PAM50', 'time', 'event', 'Lympho', 'cluster2', 'LumA_target']",42.0,0.3,0.5,LumA_target,,train,,,,,,,,,"['remove_constant_columns', 'remove_nan_columns', 'create_x_y']",OneHotEncoder,StandardScaler,,,,,,,,,,,,,,-1.0,True,"{'K': 10, 'fs_method_1': 'mrmr', 'model_type': 'classification', 'alpha': 0.1, 'l1_ratio': 0.5, 'C': 0.01, 'cv': 5, 'verbose': 2, 'max_features': 200, 'n_population': 100, 'crossover_proba': 0.5, 'mutation_proba': 0.2, 'n_generations': 7, 'crossover_independent_proba': 0.5, 'mutation_independent_proba': 0.04, 'tournament_size': 3, 'n_gen_no_change': 4, 'caching': True, 'n_jobs': -1, 'random_state': 123, 'n_features_to_select': 5}","{'fit_intercept': [True, False], 'n_jobs': [2, 4], 'C': [0.001, 0.01, 0.1, 1, 10, 100], 'penalty': ['l1', 'l2', 'elasticnet', 'none'], 'solver': ['newton-cg', 'lbfgs', 'liblinear', 'sag', 'saga']}"
2023-07-19 22:52:01,0.8566,0.85675,0.85664,921.0,classification,LogisticRegression,"['ER', 'PAM50', 'time', 'event', 'Lympho', 'cluster2', 'LumA_target']",42.0,0.3,0.5,LumA_target,,train,,,,,,,,,"['remove_constant_columns', 'remove_nan_columns', 'create_x_y']",OneHotEncoder,StandardScaler,,,,,,,,,,,,,,-1.0,True,"{'K': 10, 'fs_method_1': 'mrmr', 'model_type': 'classification', 'alpha': 0.1, 'l1_ratio': 0.5, 'C': 0.01, 'cv': 5, 'verbose': 2, 'max_features': 200, 'n_population': 100, 'crossover_proba': 0.5, 'mutation_proba': 0.2, 'n_generations': 7, 'crossover_independent_proba': 0.5, 'mutation_independent_proba': 0.04, 'tournament_size': 3, 'n_gen_no_change': 4, 'caching': True, 'n_jobs': -1, 'random_state': 123, 'n_features_to_select': 5}","{'fit_intercept': [True, False], 'n_jobs': [2, 4], 'C': [0.001, 0.01, 0.1, 1, 10, 100], 'penalty': ['l1', 'l2', 'elasticnet', 'none'], 'solver': ['newton-cg', 'lbfgs', 'liblinear', 'sag', 'saga']}"
2023-07-19 23:05:37,0.8566,0.85675,0.85664,921.0,classification,LogisticRegression,"['ER', 'PAM50', 'time', 'event', 'Lympho', 'cluster2', 'LumA_target']",42.0,0.3,0.5,LumA_target,,train,,,,,,,,,"['remove_constant_columns', 'remove_nan_columns', 'create_x_y']",OneHotEncoder,StandardScaler,,,,,,,,,,,,,,-1.0,True,"{'K': 10, 'fs_method_1': 'mrmr', 'model_type': 'classification', 'alpha': 0.1, 'l1_ratio': 0.5, 'C': 0.01, 'cv': 5, 'verbose': 2, 'max_features': 200, 'n_population': 100, 'crossover_proba': 0.5, 'mutation_proba': 0.2, 'n_generations': 7, 'crossover_independent_proba': 0.5, 'mutation_independent_proba': 0.04, 'tournament_size': 3, 'n_gen_no_change': 4, 'caching': True, 'n_jobs': -1, 'random_state': 123, 'n_features_to_select': 5}","{'fit_intercept': [True, False], 'n_jobs': [2, 4], 'C': [0.001, 0.01, 0.1, 1, 10, 100], 'penalty': ['l1', 'l2', 'elasticnet', 'none'], 'solver': ['newton-cg', 'lbfgs', 'liblinear', 'sag', 'saga']}"
2023-07-19 23:19:32,0.8566,0.85675,0.85664,921.0,classification,LogisticRegression,"['ER', 'PAM50', 'time', 'event', 'Lympho', 'cluster2', 'LumA_target']",42.0,0.3,0.5,LumA_target,,train,,,,,,,,,"['remove_constant_columns', 'remove_nan_columns', 'create_x_y']",OneHotEncoder,StandardScaler,,,,,,,,,,,,,,-1.0,True,"{'K': 10, 'fs_method_1': 'mrmr', 'model_type': 'classification', 'alpha': 0.1, 'l1_ratio': 0.5, 'C': 0.01, 'cv': 5, 'verbose': 2, 'max_features': 200, 'n_population': 100, 'crossover_proba': 0.5, 'mutation_proba': 0.2, 'n_generations': 7, 'crossover_independent_proba': 0.5, 'mutation_independent_proba': 0.04, 'tournament_size': 3, 'n_gen_no_change': 4, 'caching': True, 'n_jobs': -1, 'random_state': 123, 'n_features_to_select': 5}","{'fit_intercept': [True, False], 'n_jobs': [2, 4], 'C': [0.001, 0.01, 0.1, 1, 10, 100], 'penalty': ['l1', 'l2', 'elasticnet', 'none'], 'solver': ['newton-cg', 'lbfgs', 'liblinear', 'sag', 'saga']}"
2023-07-19 23:36:30,0.8566,0.85675,0.85664,921.0,classification,LogisticRegression,"['ER', 'PAM50', 'time', 'event', 'Lympho', 'cluster2', 'LumA_target']",42.0,0.3,0.5,LumA_target,,train,,,,,,,,,"['remove_constant_columns', 'remove_nan_columns', 'create_x_y']",OneHotEncoder,StandardScaler,,,,,,,,,,,,,,-1.0,True,"{'K': 10, 'fs_method_1': 'mrmr', 'model_type': 'classification', 'alpha': 0.1, 'l1_ratio': 0.5, 'C': 0.01, 'cv': 5, 'verbose': 2, 'max_features': 200, 'n_population': 100, 'crossover_proba': 0.5, 'mutation_proba': 0.2, 'n_generations': 7, 'crossover_independent_proba': 0.5, 'mutation_independent_proba': 0.04, 'tournament_size': 3, 'n_gen_no_change': 4, 'caching': True, 'n_jobs': -1, 'random_state': 123, 'n_features_to_select': 5}","{'fit_intercept': [True, False], 'n_jobs': [2, 4], 'C': [0.001, 0.01, 0.1, 1, 10, 100], 'penalty': ['l1', 'l2', 'elasticnet', 'none'], 'solver': ['newton-cg', 'lbfgs', 'liblinear', 'sag', 'saga']}"
2023-07-21 10:24:46,0.8566,0.85675,0.85664,921.0,classification,LogisticRegression,"['ER', 'PAM50', 'time', 'event', 'Lympho', 'cluster2', 'LumA_target']",42.0,0.3,0.5,LumA_target,,train,,,,,,,,,"['remove_constant_columns', 'remove_nan_columns', 'create_x_y']",OneHotEncoder,StandardScaler,,,,,,,,,,,,,,-1.0,True,"{'K': 10, 'fs_method_1': 'mrmr', 'model_type': 'classification', 'alpha': 0.1, 'l1_ratio': 0.5, 'C': 0.01, 'cv': 5, 'verbose': 2, 'max_features': 200, 'n_population': 100, 'crossover_proba': 0.5, 'mutation_proba': 0.2, 'n_generations': 7, 'crossover_independent_proba': 0.5, 'mutation_independent_proba': 0.04, 'tournament_size': 3, 'n_gen_no_change': 4, 'caching': True, 'n_jobs': -1, 'random_state': 123, 'n_features_to_select': 5}","{'fit_intercept': [True, False], 'n_jobs': [2, 4], 'C': [0.001, 0.01, 0.1, 1, 10, 100], 'penalty': ['l1', 'l2', 'elasticnet', 'none'], 'solver': ['newton-cg', 'lbfgs', 'liblinear', 'sag', 'saga']}"
2023-07-21 10:32:39,0.85936,0.85932,0.85885,921.0,classification,LogisticRegression,"['ER', 'PAM50', 'time', 'event', 'Lympho', 'cluster2', 'LumA_target']",42.0,0.3,0.5,LumA_target,,train,,,,,,,,,"['remove_constant_columns', 'remove_nan_columns', 'create_x_y']",OneHotEncoder,StandardScaler,,,,,,,,,,,,,,-1.0,True,"{'K': 10, 'fs_method_1': 'mrmr', 'model_type': 'classification', 'alpha': 0.1, 'l1_ratio': 0.5, 'C': 0.01, 'cv': 5, 'verbose': 2, 'max_features': 200, 'n_population': 100, 'crossover_proba': 0.5, 'mutation_proba': 0.2, 'n_generations': 7, 'crossover_independent_proba': 0.5, 'mutation_independent_proba': 0.04, 'tournament_size': 3, 'n_gen_no_change': 4, 'caching': True, 'n_jobs': -1, 'random_state': 123, 'n_features_to_select': 5}","{'fit_intercept': [True, False], 'n_jobs': [2, 4], 'C': [0.001, 0.01, 0.1, 1, 10, 100], 'penalty': ['l1', 'l2', 'elasticnet', 'none'], 'solver': ['newton-cg', 'lbfgs', 'liblinear', 'sag', 'saga']}"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-21 14:21:20,0.85719,0.85273,0.85094,921.0,classification,LogisticRegression,"['ER', 'PAM50', 'time', 'event', 'Lympho', 'cluster2', 'LumA_target']",42.0,0.3,0.5,LumA_target,,train,,,,,,,,,"['remove_constant_columns', 'remove_nan_columns', 'create_x_y']",OneHotEncoder,StandardScaler,,,,,,,,,,,,,,-1.0,True,"{'K': 10, 'fs_method_1': 'mrmr', 'model_type': 'classification', 'alpha': 0.1, 'l1_ratio': 0.5, 'C': 0.01, 'cv': 5, 'verbose': 2, 'max_features': 200, 'n_population': 100, 'crossover_proba': 0.5, 'mutation_proba': 0.2, 'n_generations': 7, 'crossover_independent_proba': 0.5, 'mutation_independent_proba': 0.04, 'tournament_size': 3, 'n_gen_no_change': 4, 'caching': True, 'n_jobs': -1, 'random_state': 123, 'fs_method_2': 'rfe', 'n_features_to_select': 5}","{'fit_intercept': [True, False], 'n_jobs': [2, 4], 'C': [0.001, 0.01, 0.1, 1, 10, 100], 'penalty': ['l1', 'l2', 'elasticnet', 'none'], 'solver': ['newton-cg', 'lbfgs', 'liblinear', 'sag', 'saga']}"
2023-07-21 14:23:06,0.85719,0.85273,0.85094,921.0,classification,LogisticRegression,"['ER', 'PAM50', 'time', 'event', 'Lympho', 'cluster2', 'LumA_target']",42.0,0.3,0.5,LumA_target,,train,,,,,,,,,"['remove_constant_columns', 'remove_nan_columns', 'create_x_y']",OneHotEncoder,StandardScaler,,,,,,,,,,,,,,-1.0,True,"{'K': 10, 'fs_method_1': 'mrmr', 'model_type': 'classification', 'alpha': 0.1, 'l1_ratio': 0.5, 'C': 0.01, 'cv': 5, 'verbose': 2, 'max_features': 200, 'n_population': 100, 'crossover_proba': 0.5, 'mutation_proba': 0.2, 'n_generations': 7, 'crossover_independent_proba': 0.5, 'mutation_independent_proba': 0.04, 'tournament_size': 3, 'n_gen_no_change': 4, 'caching': True, 'n_jobs': -1, 'random_state': 123, 'fs_method_2': 'rfe', 'n_features_to_select': 5}","{'fit_intercept': [True, False], 'n_jobs': [2, 4], 'C': [0.001, 0.01, 0.1, 1, 10, 100], 'penalty': ['l1', 'l2', 'elasticnet', 'none'], 'solver': ['newton-cg', 'lbfgs', 'liblinear', 'sag', 'saga']}"
2023-07-21 14:29:14,0.85936,0.85932,0.85885,921.0,classification,LogisticRegression,"['ER', 'PAM50', 'time', 'event', 'Lympho', 'cluster2', 'LumA_target']",42.0,0.3,0.5,LumA_target,,train,,,,,,,,,"['remove_constant_columns', 'remove_nan_columns', 'create_x_y']",OneHotEncoder,StandardScaler,,,,,,,,,,,,,,-1.0,True,"{'K': 10, 'fs_method_1': 'mrmr', 'model_type': 'classification', 'alpha': 0.1, 'l1_ratio': 0.5, 'C': 0.01, 'cv': 5, 'verbose': 2, 'max_features': 200, 'n_population': 100, 'crossover_proba': 0.5, 'mutation_proba': 0.2, 'n_generations': 7, 'crossover_independent_proba': 0.5, 'mutation_independent_proba': 0.04, 'tournament_size': 3, 'n_gen_no_change': 4, 'caching': True, 'n_jobs': -1, 'random_state': 123, 'fs_method_2': None, 'n_features_to_select': 5}","{'fit_intercept': [True, False], 'n_jobs': [2, 4], 'C': [0.001, 0.01, 0.1, 1, 10, 100], 'penalty': ['l1', 'l2', 'elasticnet', 'none'], 'solver': ['newton-cg', 'lbfgs', 'liblinear', 'sag', 'saga']}"
2023-07-21 14:30:47,0.85936,0.85932,0.85885,921.0,classification,LogisticRegression,"['ER', 'PAM50', 'time', 'event', 'Lympho', 'cluster2', 'LumA_target']",42.0,0.3,0.5,LumA_target,,train,,,,,,,,,"['remove_constant_columns', 'remove_nan_columns', 'create_x_y']",OneHotEncoder,StandardScaler,,,,,,,,,,,,,,-1.0,True,"{'K': 10, 'fs_method_1': 'mrmr', 'model_type': 'classification', 'alpha': 0.1, 'l1_ratio': 0.5, 'C': 0.01, 'cv': 5, 'verbose': 2, 'max_features': 200, 'n_population': 100, 'crossover_proba': 0.5, 'mutation_proba': 0.2, 'n_generations': 7, 'crossover_independent_proba': 0.5, 'mutation_independent_proba': 0.04, 'tournament_size': 3, 'n_gen_no_change': 4, 'caching': True, 'n_jobs': -1, 'random_state': 123, 'fs_method_2': None, 'n_features_to_select': 5}","{'fit_intercept': [True, False], 'n_jobs': [2, 4], 'C': [0.001, 0.01, 0.1, 1, 10, 100], 'penalty': ['l1', 'l2', 'elasticnet', 'none'], 'solver': ['newton-cg', 'lbfgs', 'liblinear', 'sag', 'saga']}"
