Time,Metric_MSE,Param_model_type,Param_model_name,Param_columns_to_remove,Param_seed,Param_test_size,Param_val_size,Param_target_col,Param_output_path,Param_run_type,Param_K,Param_random_state,Param_alpha,Param_l1_ratio,Param_C,Param_fs_method_1,Param_fs_method_2,Param_n_features_to_select,Param_preprocessing_operations,Param_encoder_name,Param_scaler_name,Param_cv,Param_verbose,Param_scoring,Param_max_features,Param_n_population,Param_crossover_proba,Param_mutation_proba,Param_n_generations,Param_crossover_independent_proba,Param_mutation_independent_proba,Param_tournament_size,Param_n_gen_no_change,Param_caching,Param_n_jobs,Param_fit_intercept,Param_fs_params,Param_hyper_params_dict,Param_fs_params_1,Param_fs_params_2
08/07/2023 13:34,0.001167766,regression - baseline,LinearRegression,"['ER', 'PAM50', 'time', 'event', 'Lympho', 'cluster2', 'LumA_target']",42.0,0.3,0.5,Lympho,,train,200.0,123.0,0.1,0.5,0.01,,,,"['remove_constant_columns', 'remove_nan_columns', 'create_x_y']",OneHotEncoder,StandardScaler,5.0,2.0,neg_mean_squared_error,200.0,100.0,0.5,0.2,7.0,0.5,0.04,3.0,4.0,True,-1.0,default_value,default_value,default_value,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,default_value,default_value,default_value,,
08/07/2023 13:44,0.001452342,regression,LinearRegression,"['ER', 'PAM50', 'time', 'event', 'Lympho', 'cluster2', 'LumA_target']",42.0,0.3,0.5,Lympho,,train,200.0,123.0,0.1,0.5,0.01,mrmr,,,"['remove_constant_columns', 'remove_nan_columns', 'create_x_y']",OneHotEncoder,StandardScaler,5.0,2.0,neg_mean_squared_error,200.0,100.0,0.5,0.2,7.0,0.5,0.04,3.0,4.0,True,-1.0,default_value,default_value,default_value,,
2023-07-08 14:39:32,0.0530346416890491,regression,LinearRegression,"['ER', 'PAM50', 'time', 'event', 'Lympho', 'cluster2', 'LumA_target']",42.0,0.3,0.5,Lympho,,train,200.0,123.0,0.1,0.5,0.01,genetic_selection,,,"['remove_constant_columns', 'remove_nan_columns', 'create_x_y']",OneHotEncoder,StandardScaler,5.0,2.0,neg_mean_squared_error,200.0,100.0,0.5,0.2,7.0,0.5,0.04,3.0,4.0,True,-1.0,default_value,default_value,default_value,,
2023-07-08 15:05:30,0.0010565764583433,regression,LinearRegression,"['ER', 'PAM50', 'time', 'event', 'Lympho', 'cluster2', 'LumA_target']",42.0,0.3,0.5,Lympho,,train,400.0,123.0,0.1,0.5,0.01,mrmr,,,"['remove_constant_columns', 'remove_nan_columns', 'create_x_y']",OneHotEncoder,StandardScaler,5.0,2.0,neg_mean_squared_error,200.0,100.0,0.5,0.2,7.0,0.5,0.04,3.0,4.0,True,-1.0,default_value,default_value,default_value,,
2023-07-19 09:40:08,0.0166718282872463,regression,LinearRegression,"['ER', 'PAM50', 'time', 'event', 'Lympho', 'cluster2']",42.0,0.3,0.5,Lympho,,train,,,,,,,,,"['remove_constant_columns', 'remove_nan_columns', 'create_x_y']",OneHotEncoder,StandardScaler,,,,,,,,,,,,,,-1.0,True,"{'K': 10, 'fs_method_1': 'mrmr', 'model_type': 'regression', 'alpha': 0.1, 'l1_ratio': 0.5, 'C': 0.01, 'n_features_to_select': 'None', 'cv': 5, 'verbose': 2, 'scoring': 'neg_mean_squared_error', 'max_features': 200, 'n_population': 100, 'crossover_proba': 0.5, 'mutation_proba': 0.2, 'n_generations': 7, 'crossover_independent_proba': 0.5, 'mutation_independent_proba': 0.04, 'tournament_size': 3, 'n_gen_no_change': 4, 'caching': True, 'n_jobs': -1, 'random_state': 123}","{'fit_intercept': [True, False], 'n_jobs': [2, 4]}",,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-19 09:46:47,0.0166718282872463,regression,LinearRegression,"['ER', 'PAM50', 'time', 'event', 'Lympho', 'cluster2', 'LumA_target']",42.0,0.3,0.5,Lympho,,train,,,,,,,,,"['remove_constant_columns', 'remove_nan_columns', 'create_x_y']",OneHotEncoder,StandardScaler,,,,,,,,,,,,,,-1.0,True,"{'K': 10, 'fs_method_1': 'mrmr', 'model_type': 'regression', 'alpha': 0.1, 'l1_ratio': 0.5, 'C': 0.01, 'n_features_to_select': 'None', 'cv': 5, 'verbose': 2, 'scoring': 'neg_mean_squared_error', 'max_features': 200, 'n_population': 100, 'crossover_proba': 0.5, 'mutation_proba': 0.2, 'n_generations': 7, 'crossover_independent_proba': 0.5, 'mutation_independent_proba': 0.04, 'tournament_size': 3, 'n_gen_no_change': 4, 'caching': True, 'n_jobs': -1, 'random_state': 123}","{'fit_intercept': [True, False], 'n_jobs': [2, 4]}",,
2023-07-19 09:57:13,0.0014523424178236,regression,LinearRegression,"['ER', 'PAM50', 'time', 'event', 'Lympho', 'cluster2', 'LumA_target']",42.0,0.3,0.5,Lympho,,train,,,,,,,,,"['remove_constant_columns', 'remove_nan_columns', 'create_x_y']",OneHotEncoder,StandardScaler,,,,,,,,,,,,,,-1.0,True,"{'K': 200, 'fs_method_1': 'mrmr', 'model_type': 'regression', 'alpha': 0.1, 'l1_ratio': 0.5, 'C': 0.01, 'n_features_to_select': 'None', 'cv': 5, 'verbose': 2, 'scoring': 'neg_mean_squared_error', 'max_features': 200, 'n_population': 100, 'crossover_proba': 0.5, 'mutation_proba': 0.2, 'n_generations': 7, 'crossover_independent_proba': 0.5, 'mutation_independent_proba': 0.04, 'tournament_size': 3, 'n_gen_no_change': 4, 'caching': True, 'n_jobs': -1, 'random_state': 123}","{'fit_intercept': [True, False], 'n_jobs': [2, 4]}",,
2023-07-19 10:41:02,0.016830637853053,regression,LinearRegression,"['ER', 'PAM50', 'time', 'event', 'Lympho', 'cluster2', 'LumA_target']",42.0,0.3,0.5,Lympho,,train,,,,,,,,,"['remove_constant_columns', 'remove_nan_columns', 'create_x_y']",OneHotEncoder,StandardScaler,,,,,,,,,,,,,,-1.0,True,"{'K': 10, 'fs_method_1': 'mrmr', 'model_type': 'regression', 'alpha': 0.1, 'l1_ratio': 0.5, 'C': 0.01, 'n_features_to_select': 'None', 'cv': 5, 'verbose': 2, 'scoring': 'neg_mean_squared_error', 'max_features': 200, 'n_population': 100, 'crossover_proba': 0.5, 'mutation_proba': 0.2, 'n_generations': 7, 'crossover_independent_proba': 0.5, 'mutation_independent_proba': 0.04, 'tournament_size': 3, 'n_gen_no_change': 4, 'caching': True, 'n_jobs': -1, 'random_state': 123}","{'fit_intercept': [True, False], 'n_jobs': [2, 4]}",,
